,Message,Message Type,Protocole,IMEI,Serial,Mileage,Date,Ignition,Latitude,Longitude,Altitude,External Power,RPM,Speed,Satellite Number,Azimuth,Bettery level
0,"[{""Protocol"":""0x2525""","MessageType:""SignInMessage""",ProtocolHeadType:0,"Imei:""869487064453904""",SerialNo:1,"Firmware:""V1.0.1.6""",Model:0,ObdBootVersion:null,ObdDataVersion:null,ObdHareware:null,ObdSoftware:null,Platform:null,"Software:""V0.0.0""}]",,,,
1,"[{""Protocol"":""0x2525""","MessageType:""NetworkInfoMessage""",ProtocolHeadType:0,"Imei:""869487064453904""",SerialNo:1,"AccessTechnology:""CAT-1""","Band:""CAT-1 2""","Date:""2025-12-22T02:47:00Z""","Iccid:""8951101632961158189F""","Imsi:""716101696115818""","NetworkOperator:""ClaroFelicesFiestas""}]",,,,,,
2,"[{""Protocol"":""0x2525""","MessageType:""LocationAlarmMessage""",ProtocolHeadType:20,"Imei:""869487064453904""",SerialNo:2937,Mileage:9375800,"Date:""2025-12-22T02:47:01Z""",IopIgnition:false,Latitude:-5.1022109985351563,Longitude:-81.072296142578125,Altitude:70.699996948242188,ExternalPowerVoltage:25.38,Rpm:-999,Speed:0.0,SatelliteNumber:17,Azimuth:340,OriginalAlarmCode:105}]
3,"[{""Protocol"":""0x2525""","MessageType:""LocationAlarmMessage""",ProtocolHeadType:20,"Imei:""869487064453904""",SerialNo:2938,Mileage:9375800,"Date:""2025-12-22T02:53:23Z""",IopIgnition:true,Latitude:-5.1022109985351563,Longitude:-81.072296142578125,Altitude:70.699996948242188,ExternalPowerVoltage:24.88,Rpm:-999,Speed:0.0,SatelliteNumber:15,Azimuth:340,OriginalAlarmCode:22}]
4,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064453904""",SerialNo:32840,Mileage:9375800,"Date:""2025-12-22T02:54:24Z""",IopIgnition:true,Latitude:-5.1022109985351563,Longitude:-81.072296142578125,Altitude:70.699996948242188,ExternalPowerVoltage:27.73,Rpm:-999,Speed:0.0,SatelliteNumber:15,Azimuth:340,BatteryLevel:10}]
5,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064453904""",SerialNo:32841,Mileage:9375800,"Date:""2025-12-22T02:55:24Z""",IopIgnition:true,Latitude:-5.1022109985351563,Longitude:-81.072296142578125,Altitude:70.699996948242188,ExternalPowerVoltage:27.73,Rpm:-999,Speed:0.0,SatelliteNumber:17,Azimuth:340,BatteryLevel:10}]
6,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064453904""",SerialNo:32842,Mileage:9375815,"Date:""2025-12-22T02:56:04Z""",IopIgnition:true,Latitude:-5.1021971702575684,Longitude:-81.072441101074219,Altitude:70.199996948242188,ExternalPowerVoltage:27.62,Rpm:-999,Speed:6.0,SatelliteNumber:18,Azimuth:259,BatteryLevel:10}]
7,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064453904""",SerialNo:32843,Mileage:9375815,"Date:""2025-12-22T02:56:04Z""",IopIgnition:true,Latitude:-5.1021971702575684,Longitude:-81.072441101074219,Altitude:70.199996948242188,ExternalPowerVoltage:27.62,Rpm:-999,Speed:6.0,SatelliteNumber:18,Azimuth:259,BatteryLevel:10}]
8,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064453904""",SerialNo:32844,Mileage:9375827,"Date:""2025-12-22T02:56:11Z""",IopIgnition:true,Latitude:-5.1022768020629883,Longitude:-81.072502136230469,Altitude:69.800003051757813,ExternalPowerVoltage:27.54,Rpm:-999,Speed:6.0,SatelliteNumber:18,Azimuth:205,BatteryLevel:10}]
9,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064453904""",SerialNo:32845,Mileage:9375996,"Date:""2025-12-22T02:57:22Z""",IopIgnition:true,Latitude:-5.1036887168884277,Longitude:-81.072944641113281,Altitude:74.5999984741211,ExternalPowerVoltage:27.57,Rpm:-999,Speed:6.0,SatelliteNumber:17,Azimuth:258,BatteryLevel:10}]
