,Created,Message,,,,,,,,,,,,,,,,,,,,,,
1772,2025-07-11 15:50:33,+ACK:GTGEO,500501,868574042447461,,2,FFFF,20250711155032,2FDD$,,,,,,,,,,,,,,,
1773,2025-07-11 15:50:59,+RESP:GTGEO,500501,868574042447461,,,21,1,1,0,325,38.7,-74.853211,10.937871,20250711155059,732,101,3AA3,BB817B7,4,12,59203.8,20250711155059,2FDE$
1797,2025-07-11 16:07:01,+RESP:GTGEO,500501,868574042447461,,,20,1,1,51.4,62,38.8,-74.845098,10.941397,20250711160658,732,101,3AA4,BBEA37D,4,12,59204.8,20250711160658,2FF6$
2622,2025-07-11 23:58:50,+RESP:GTGEO,500501,868574042447461,,,21,1,1,58.4,238,40.6,-74.84763,10.940178,20250711235910,732,101,3AA4,BBEA37D,4,12,59270.5,20250711235910,332C$
2725,2025-07-12 12:47:40,+RESP:GTGEO,500501,868574042447461,,,20,1,1,66.1,63,32,-74.847156,10.940334,20250712124737,732,101,3AA3,BB817B6,4,12,59274.1,20250712124737,338E$
2783,2025-07-12 13:26:48,+RESP:GTGEO,500501,868574042447461,,,21,1,1,74.8,265,37.7,-74.850925,10.938873,20250712132708,732,101,3AA3,BB817B6,4,12,59278.6,20250712132708,33C8$
2810,2025-07-12 13:38:49,+RESP:GTGEO,500501,868574042447461,,,20,1,1,74.5,62,35.4,-74.844106,10.941947,20250712133907,732,101,3AA4,BBEA37D,4,12,59282.2,20250712133907,"33,000$"
2819,2025-07-12 13:45:23,+RESP:GTGEO,500501,868574042447461,,,21,1,1,73.7,260,36.5,-74.852994,10.938612,20250712134540,732,101,3AA3,BB817B7,4,12,59286.3,20250712134540,33EC$
2821,2025-07-12 13:45:53,+RESP:GTGEO,500501,868574042447461,,,20,1,1,75.5,228,37.8,-74.858248,10.936675,20250712134610,,,,,4,12,59286.9,20250712134610,33EE$
2901,2025-07-12 15:16:22,+RESP:GTGEO,500501,868574042447461,,,21,1,1,58,61,44.7,-74.857454,10.937086,20250712151622,732,101,3AA3,BB818A6,4,12,59291.9,20250712151622,"3,416$"
2936,2025-07-12 15:38:10,+RESP:GTGEO,500501,868574042447461,,,20,1,1,61,62,36.5,-74.844928,10.941486,20250712153624,732,101,3AA4,BBEA37D,4,12,59295.2,20250712153624,"3,438$"
2937,2025-07-12 15:38:10,+RESP:GTGEO,500501,868574042447461,,,20,1,1,61,62,36.5,-74.844928,10.941486,20250712153624,732,101,3AA4,BBEA37D,4,12,59295.2,20250712153624,"3,438$"
3008,2025-07-12 16:59:32,+RESP:GTGEO,500501,868574042447461,,,21,1,1,54.3,237,42,-74.849018,10.939335,20250712165931,732,101,3AA3,BB817B6,4,12,59299.2,20250712165931,347C$
3010,2025-07-12 17:01:01,+RESP:GTGEO,500501,868574042447461,,,20,1,1,53.7,222,44.7,-74.859864,10.934984,20250712170101,732,101,3AA3,BB818A8,4,12,59300.5,20250712170101,347E$
3057,2025-07-12 17:22:15,+RESP:GTGEO,500501,868574042447461,,,21,1,1,55.5,73,34.9,-74.856181,10.937565,20250712172131,732,101,0C25,D401,4,12,59305.5,20250712172131,34A8$
3060,2025-07-12 17:23:42,+RESP:GTGEO,500501,868574042447461,,,20,1,1,58.7,67,32.2,-74.843635,10.942183,20250712172301,732,101,0C25,D401,4,12,59307,20250712172301,34AB$
3143,2025-07-12 18:18:33,+RESP:GTGEO,500501,868574042447461,,,21,1,1,56.6,237,38.2,-74.848726,10.939484,20250712181834,732,101,3AA3,BB817B6,4,12,59320.1,20250712181834,34FE$
3373,2025-07-14 11:41:54,+RESP:GTGEO,500501,868574042447461,,,20,1,1,68.2,63,39,-74.845433,10.941246,20250714114233,732,101,3AA4,BBEA37D,4,12,59323.7,20250714114232,"35,000$"
