textbox12,UnitName,Textbox3,EventTime,GeofenceName,GeofenceEvent1,Textbox4
Grupo: ,Unidad:SRR902,,31/05/2025 5:41:44 a.m.,12.- Estbas del Bosque. : cartagena bosque cartagena,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 5:42:34 a.m.,12.- Estbas del Bosque. : cartagena bosque cartagena,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 8:09:19 a.m.,6.- Seguro Social : cartagena traversal 54 cartagena,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 8:44:34 a.m.,8.- Parque Espiritu del Manglar : cartagena centro cartagena,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 8:45:35 a.m.,8.- Parque Espiritu del Manglar : cartagena centro cartagena,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 10:46:37 a.m.,4.- Tienda El Tope : cartagena sanfernando cartagena,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 10:47:37 a.m.,4.- Tienda El Tope : cartagena sanfernando cartagena,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 10:51:37 a.m.,3.- Olimpica San Fernando : cartagena sanfernando Cartagena,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 11:47:49 a.m.,1. Turno de despacho : Calle 34 # 17 231 Cartagena,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 11:48:38 a.m.,1. Turno de despacho : Calle 34 # 17 231 Cartagena,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 12:53:08 p.m.,7.- Antiguo Peaje Manga : Cartagena manga cartagena,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 12:53:17 p.m.,7.- Antiguo Peaje Manga : Cartagena manga cartagena,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 1:44:40 p.m.,9.- Olimpica Bocagrande Cra. 3º : cartagena bocagrande cartagena,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 1:45:40 p.m.,9.- Olimpica Bocagrande Cra. 3º : cartagena bocagrande cartagena,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 2:18:41 p.m.,11.- Avenida del Lago : cartagena avenida el lago cartagena,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 2:19:07 p.m.,11.- Avenida del Lago : cartagena avenida el lago cartagena,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 3:13:42 p.m.,3.- Olimpica San Fernando : cartagena sanfernando Cartagena,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 3:13:42 p.m.,prueba mon,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 3:17:42 p.m.,3.- Olimpica San Fernando : cartagena sanfernando Cartagena,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 3:17:42 p.m.,prueba mon,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 3:17:44 p.m.,3.- Olimpica San Fernando : cartagena sanfernando Cartagena,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 3:17:44 p.m.,prueba mon,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 5:17:45 p.m.,4.- Tienda El Tope : cartagena sanfernando cartagena,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 5:18:45 p.m.,4.- Tienda El Tope : cartagena sanfernando cartagena,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 6:22:46 p.m.,8.- Parque Espiritu del Manglar : cartagena centro cartagena,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 6:59:24 p.m.,9.- Olimpica Bocagrande Cra. 3º : cartagena bocagrande cartagena,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 7:00:24 p.m.,9.- Olimpica Bocagrande Cra. 3º : cartagena bocagrande cartagena,SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 8:06:46 p.m.,"5.,- Entrada a Blas de Lezo : cartagena blasdelezo cartagena",ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 8:07:46 p.m.,"5.,- Entrada a Blas de Lezo : cartagena blasdelezo cartagena",SALIDA,
Grupo: ,Unidad:SRR902,,31/05/2025 8:33:52 p.m.,prueba mon,ENTRADA,
Grupo: ,Unidad:SRR902,,31/05/2025 8:34:52 p.m.,prueba mon,SALIDA,
Grupo: ,Unidad:SRR902,,1/06/2025 5:17:43 a.m.,4.- Tienda El Tope : cartagena sanfernando cartagena,ENTRADA,
