,Created,Message,Status
15,2025-05-18 00:10:11.945,"+RESP:GTGEO,500700,868574042858816,,,11,1,1,10.6,243,4.5,-75.534823,10.432534,20250518001011,0732,0101,3AB6,BBAAF0D,04,12,37778.6,20250518001011,1EBC$",0x2B524553503A475447454F2C3530303730302C3836383537343034323835383831362C2C2C31312C312C312C31302E362C3234332C342E352C2D37352E3533343832332C31302E3433323533342C32303235303531383030313031312C303733322C303130312C334142362C424241414630442C30342C31322C33373737382E362C32303235303531383030313031312C3145424324
16,2025-05-18 00:10:35.656,"+RESP:GTGEO,500700,868574042858816,,,10,1,1,14.1,230,6.9,-75.535454,10.432061,20250518001035,0732,0101,3AB6,BBAAF0D,04,12,37778.7,20250518001034,1EBD$",0x2B524553503A475447454F2C3530303730302C3836383537343034323835383831362C2C2C31302C312C312C31342E312C3233302C362E392C2D37352E3533353435342C31302E3433323036312C32303235303531383030313033352C303733322C303130312C334142362C424241414630442C30342C31322C33373737382E372C32303235303531383030313033342C3145424424
31,2025-05-18 00:21:35.940,"+RESP:GTGEO,500700,868574042858816,,,C1,1,1,19.4,92,4.6,-75.538452,10.419712,20250518002135,0732,0101,3AB6,BBA3EBC,04,12,37780.5,20250518002135,1ECC$",0x2B524553503A475447454F2C3530303730302C3836383537343034323835383831362C2C2C43312C312C312C31392E342C39322C342E362C2D37352E3533383435322C31302E3431393731322C32303235303531383030323133352C303733322C303130312C334142362C424241334542432C30342C31322C33373738302E352C32303235303531383030323133352C3145434324
32,2025-05-18 00:21:56.842,"+RESP:GTGEO,500700,868574042858816,,,C0,1,1,21.3,79,5.0,-75.537240,10.419766,20250518002156,0732,0101,3AB6,BBAD216,04,12,37780.7,20250518002156,1ECD$",0x2B524553503A475447454F2C3530303730302C3836383537343034323835383831362C2C2C43302C312C312C32312E332C37392C352E302C2D37352E3533373234302C31302E3431393736362C32303235303531383030323135362C303733322C303130312C334142362C424241443231362C30342C31322C33373738302E372C32303235303531383030323135362C3145434424
64,2025-05-18 00:38:02.911,"+RESP:GTGEO,500700,868574042858816,,,81,1,1,36.2,110,5.6,-75.526424,10.406311,20250518003802,0732,0101,3AB6,BBAAF20,04,12,37784.3,20250518003802,1EED$",0x2B524553503A475447454F2C3530303730302C3836383537343034323835383831362C2C2C38312C312C312C33362E322C3131302C352E362C2D37352E3532363432342C31302E3430363331312C32303235303531383030333830322C303733322C303130312C334142362C424241414632302C30342C31322C33373738342E332C32303235303531383030333830322C3145454424
66,2025-05-18 00:38:11.837,"+RESP:GTGEO,500700,868574042858816,,,80,1,1,35.8,113,7.9,-75.525687,10.406016,20250518003811,0732,0101,3AB6,BBAAF20,04,12,37784.3,20250518003811,1EEF$",0x2B524553503A475447454F2C3530303730302C3836383537343034323835383831362C2C2C38302C312C312C33352E382C3131332C372E392C2D37352E3532353638372C31302E3430363031362C32303235303531383030333831312C303733322C303130312C334142362C424241414632302C30342C31322C33373738342E332C32303235303531383030333831312C3145454624
68,2025-05-18 00:39:02.688,"+RESP:GTGEO,500700,868574042858816,,,21,1,1,26.8,132,2.5,-75.521500,10.405108,20250518003902,0732,0101,3AB6,BBA40A8,04,12,37784.8,20250518003902,1EF1$",0x2B524553503A475447454F2C3530303730302C3836383537343034323835383831362C2C2C32312C312C312C32362E382C3133322C322E352C2D37352E3532313530302C31302E3430353130382C32303235303531383030333930322C303733322C303130312C334142362C424241343041382C30342C31322C33373738342E382C32303235303531383030333930322C3145463124
71,2025-05-18 00:39:18.073,"+RESP:GTGEO,500700,868574042858816,,,20,1,1,37.0,183,3.6,-75.521502,10.403949,20250518003917,0732,0101,3AB6,BBA40A8,04,12,37785.0,20250518003917,1EF4$",0x2B524553503A475447454F2C3530303730302C3836383537343034323835383831362C2C2C32302C312C312C33372E302C3138332C332E362C2D37352E3532313530322C31302E3430333934392C32303235303531383030333931372C303733322C303130312C334142362C424241343041382C30342C31322C33373738352E302C32303235303531383030333931372C3145463424
90,2025-05-18 00:51:08.481,"+RESP:GTGEO,500700,868574042858816,,,71,1,1,26.3,63,4.9,-75.502358,10.388360,20250518005106,0732,0101,3AB6,BBAD163,04,12,37790.3,20250518005106,1F07$",0x2B524553503A475447454F2C3530303730302C3836383537343034323835383831362C2C2C37312C312C312C32362E332C36332C342E392C2D37352E3530323335382C31302E3338383336302C32303235303531383030353130362C303733322C303130312C334142362C424241443136332C30342C31322C33373739302E332C32303235303531383030353130362C3146303724
91,2025-05-18 00:51:42.681,"+RESP:GTGEO,500700,868574042858816,,,70,1,1,26.5,79,5.6,-75.501395,10.388568,20250518005142,0732,0101,3AB6,BBA422D,04,12,37790.4,20250518005141,1F08$",0x2B524553503A475447454F2C3530303730302C3836383537343034323835383831362C2C2C37302C312C312C32362E352C37392C352E362C2D37352E3530313339352C31302E3338383536382C32303235303531383030353134322C303733322C303130312C334142362C424241343232442C30342C31322C33373739302E342C32303235303531383030353134312C3146303824
