,Created,Message,Status
1772,2025-07-11 15:50:33.092,"+ACK:GTGEO,500501,868574042447461,,2,FFFF,20250711155032,2FDD$",0x2B41434B3A475447454F2C3530303530312C3836383537343034323434373436312C2C322C464646462C32303235303731313135353033322C3246444424
1773,2025-07-11 15:50:59.489,"+RESP:GTGEO,500501,868574042447461,,,21,1,1,0.0,325,38.7,-74.853211,10.937871,20250711155059,0732,0101,3AA3,BB817B7,04,12,59203.8,20250711155059,2FDE$",0x2B524553503A475447454F2C3530303530312C3836383537343034323434373436312C2C2C32312C312C312C302E302C3332352C33382E372C2D37342E3835333231312C31302E3933373837312C32303235303731313135353035392C303733322C303130312C334141332C424238313742372C30342C31322C35393230332E382C32303235303731313135353035392C3246444524
1797,2025-07-11 16:07:00.745,"+RESP:GTGEO,500501,868574042447461,,,20,1,1,51.4,62,38.8,-74.845098,10.941397,20250711160658,0732,0101,3AA4,BBEA37D,04,12,59204.8,20250711160658,2FF6$",0x2B524553503A475447454F2C3530303530312C3836383537343034323434373436312C2C2C32302C312C312C35312E342C36322C33382E382C2D37342E3834353039382C31302E3934313339372C32303235303731313136303635382C303733322C303130312C334141342C424245413337442C30342C31322C35393230342E382C32303235303731313136303635382C3246463624
2622,2025-07-11 23:58:50.459,"+RESP:GTGEO,500501,868574042447461,,,21,1,1,58.4,238,40.6,-74.847630,10.940178,20250711235910,0732,0101,3AA4,BBEA37D,04,12,59270.5,20250711235910,332C$",0x2B524553503A475447454F2C3530303530312C3836383537343034323434373436312C2C2C32312C312C312C35382E342C3233382C34302E362C2D37342E3834373633302C31302E3934303137382C32303235303731313233353931302C303733322C303130312C334141342C424245413337442C30342C31322C35393237302E352C32303235303731313233353931302C3333324324
2725,2025-07-12 12:47:39.862,"+RESP:GTGEO,500501,868574042447461,,,20,1,1,66.1,63,32.0,-74.847156,10.940334,20250712124737,0732,0101,3AA3,BB817B6,04,12,59274.1,20250712124737,338E$",0x2B524553503A475447454F2C3530303530312C3836383537343034323434373436312C2C2C32302C312C312C36362E312C36332C33322E302C2D37342E3834373135362C31302E3934303333342C32303235303731323132343733372C303733322C303130312C334141332C424238313742362C30342C31322C35393237342E312C32303235303731323132343733372C3333384524
2783,2025-07-12 13:26:48.152,"+RESP:GTGEO,500501,868574042447461,,,21,1,1,74.8,265,37.7,-74.850925,10.938873,20250712132708,0732,0101,3AA3,BB817B6,04,12,59278.6,20250712132708,33C8$",0x2B524553503A475447454F2C3530303530312C3836383537343034323434373436312C2C2C32312C312C312C37342E382C3236352C33372E372C2D37342E3835303932352C31302E3933383837332C32303235303731323133323730382C303733322C303130312C334141332C424238313742362C30342C31322C35393237382E362C32303235303731323133323730382C3333433824
2810,2025-07-12 13:38:48.621,"+RESP:GTGEO,500501,868574042447461,,,20,1,1,74.5,62,35.4,-74.844106,10.941947,20250712133907,0732,0101,3AA4,BBEA37D,04,12,59282.2,20250712133907,33E3$",0x2B524553503A475447454F2C3530303530312C3836383537343034323434373436312C2C2C32302C312C312C37342E352C36322C33352E342C2D37342E3834343130362C31302E3934313934372C32303235303731323133333930372C303733322C303130312C334141342C424245413337442C30342C31322C35393238322E322C32303235303731323133333930372C3333453324
2819,2025-07-12 13:45:22.515,"+RESP:GTGEO,500501,868574042447461,,,21,1,1,73.7,260,36.5,-74.852994,10.938612,20250712134540,0732,0101,3AA3,BB817B7,04,12,59286.3,20250712134540,33EC$",0x2B524553503A475447454F2C3530303530312C3836383537343034323434373436312C2C2C32312C312C312C37332E372C3236302C33362E352C2D37342E3835323939342C31302E3933383631322C32303235303731323133343534302C303733322C303130312C334141332C424238313742372C30342C31322C35393238362E332C32303235303731323133343534302C3333454324
2821,2025-07-12 13:45:52.958,"+RESP:GTGEO,500501,868574042447461,,,20,1,1,75.5,228,37.8,-74.858248,10.936675,20250712134610,,,,,04,12,59286.9,20250712134610,33EE$",0x2B524553503A475447454F2C3530303530312C3836383537343034323434373436312C2C2C32302C312C312C37352E352C3232382C33372E382C2D37342E3835383234382C31302E3933363637352C32303235303731323133343631302C2C2C2C2C30342C31322C35393238362E392C32303235303731323133343631302C3333454524
2901,2025-07-12 15:16:22.431,"+RESP:GTGEO,500501,868574042447461,,,21,1,1,58.0,61,44.7,-74.857454,10.937086,20250712151622,0732,0101,3AA3,BB818A6,04,12,59291.9,20250712151622,3416$",0x2B524553503A475447454F2C3530303530312C3836383537343034323434373436312C2C2C32312C312C312C35382E302C36312C34342E372C2D37342E3835373435342C31302E3933373038362C32303235303731323135313632322C303733322C303130312C334141332C424238313841362C30342C31322C35393239312E392C32303235303731323135313632322C3334313624
