,Created,Message,Status,Tank1
4,2025-09-01 10:16:27.900,"11000001,5,4764383367,1,1,1,4,4,1756721834,1756721834,-12.0221546,-77.1300413,2529,405,175,12,00000000,610,-53,11110010,7,ON,1101101,00000000,0,5,36,fs:3:0x3E020710D00C07CD253E01071116006101BD3E020710DF0CF0CD483E01071189009C084A|",0x8305476438336701010104000468B572AA68B572AAF8D59096D206E3C3000009E10000019500AF0C000262FFCB4F07B700000500243E020710D00C07CD253E01071116006101BD3E020710DF0CF0CD483E01071189009C084A,0CD0
9,2025-09-01 10:19:49.379,"11000001,5,4764383367,1,1,1,4,9,1756722012,1756722012,-12.0177618,-77.134594,5064,561,17,9,01000100,610,-113,00010010,9,ON,1101100,00000000,0,5,36,fs:3:0x3E020710B50C53CBA53E010711C9009A0C613E020711DE0CE9CD543E01071231021F23BF|",0x8305476438336701010104000968B5735C68B5735CF8D63C2ED20631EC000013C800000231001109220262FF8F48093700000500243E020710B50C53CBA53E010711C9009A0C613E020711DE0CE9CD543E01071231021F23BF,0CB5
13,2025-09-01 10:22:28.218,"11000001,5,4764383367,1,1,1,4,13,1756722192,1756722192,-12.0167345,-77.1315918,2564,0,149,13,00000000,610,-73,11110010,9,OFF,1101000,00000000,0,5,36,fs:3:0x3E0207111E0DE2D1DB3E01071241011F14CE3E020711D50C52CDE13E0107120E01E01054|",0x8305476438336701010104000D68B5741068B57410F8D6644FD206A73200000A040000000000950D000262FFB74F091600000500243E0207111E0DE2D1DB3E01071241011F14CE3E020711D50C52CDE13E0107120E01E01054,0D1E
14,2025-09-01 10:25:28.255,"11000001,5,4764383367,1,1,1,4,14,1756722372,1756722372,-12.016807,-77.131518,2246,0,149,12,01000000,610,-75,11110010,9,OFF,1101001,00000000,0,5,36,fs:3:0x3E020711D10C1DCD6C3E010712180185119E3E020711CE0CE4CCBB3E0107121C01C11130|",0x8305476438336701010104000E68B574C468B574C4F8D6617AD206AA14000008C60000000000950C020262FFB54F099600000500243E020711D10C1DCD6C3E010712180185119E3E020711CE0CE4CCBB3E0107121C01C11130,0CD1
18,2025-09-01 10:31:47.650,"11000001,5,4764383367,1,1,1,4,4,1756722733,1756722733,-12.0171225,-77.1316521,3017,0,277,12,00000000,610,-73,11110010,8,ON,1101001,00000000,0,5,36,fs:3:0x3E020711CE0CE6CCAA0A071201041540463E020711CB0CB8CCF00A0712B0000C0BFE3E02|",0x8305476438336701010104000468B5762D68B5762DF8D65527D206A4D700000BC90000000001150C000262FFB74F089700000500243E020711CE0CE6CCAA0A071201041540463E020711CB0CB8CCF00A0712B0000C0BFE3E02,0CCE
20,2025-09-01 10:34:47.513,"11000001,5,4764383367,1,1,1,4,6,1756722913,1756722913,-12.0170828,-77.1318008,3871,233,287,12,00000000,610,-75,11110010,7,ON,1101101,00000000,0,5,36,fs:3:0x0711BD0CD8CB7E0107124F0AF0A4453E020712C60C6FCC1E071282002D08563E0207129E|",0x8305476438336701010104000668B576E168B576E1F8D656B4D2069F0800000F1F000000E9011F0C000262FFB54F07B700000500240711BD0CD8CB7E0107124F0AF0A4453E020712C60C6FCC1E071282002D08563E0207129E,0CC6
22,2025-09-01 10:37:47.517,"11000001,5,4764383367,1,1,1,4,8,1756723093,1756723093,-12.0170283,-77.1319763,3029,2,294,14,01000000,610,-69,11110010,8,OFF,1101001,00000000,0,5,36,fs:3:0x0CE8C9FF05071255005905A13E020712C10C10FCDE90F40FFFFF023E020712C60C6A4F07|",0x8305476438336701010104000868B5779568B57795F8D658D5D206982D00000BD50000000201260E020262FFBB4F089600000500240CE8C9FF05071255005905A13E020712C10C10FCDE90F40FFFFF023E020712C60C6A4F07,0CC1
30,2025-09-01 10:41:58.331,"11000001,5,4764383367,1,1,1,4,8,1756723363,1756723363,-12.0152115,-77.1339223,5273,11,210,12,00000000,610,-61,11110010,8,ON,1101001,00000000,0,5,36,fs:3:0x3E020712FF0CF3CF523E010713D101191DD43E020712D30C3FCD753E010713FF0FFFFFCF|",0x8305476438336701010104000868B578A368B578A3F8D69FCDD2064C29000014990000000B00D20C000262FFC34F089700000500243E020712FF0CF3CF523E010713D101191DD43E020712D30C3FCD753E010713FF0FFFFFCF,0CFF
32,2025-09-01 10:44:58.393,"11000001,5,4764383367,1,1,1,4,10,1756723543,1756723543,-12.0155495,-77.1340955,5054,36,21,11,00000000,610,-71,11110010,8,ON,1101101,00000000,0,5,36,fs:3:0x3E020712CC0CC9CCBA3E010713B90C96CBF53E020712AB0CB2CAE43E010713FF02F92F22|",0x8305476438336701010104000A68B5795768B57957F8D69299D2064565000013BE0000002400150B000262FFB94F08B700000500243E020712CC0CC9CCBA3E010713B90C96CBF53E020712AB0CB2CAE43E010713FF02F92F22,0CCC
35,2025-09-01 10:47:58.532,"11000001,5,4764383367,1,1,1,4,13,1756723723,1756723723,-12.0168398,-77.131854,2818,0,112,12,00000000,610,-79,11110010,8,ON,1101001,00000000,0,5,36,fs:3:0x3E020713B60C68CB6D3E0107134F01F8140D3E020713D00C02CD943E01071345015B14AD|",0x8305476438336701010104000D68B57A0B68B57A0BF8D66032D2069CF400000B020000000000700C000262FFB14F089700000500243E020713B60C68CB6D3E0107134F01F8140D3E020713D00C02CD943E01071345015B14AD,0CB6
