ID,Name,Identifier,Model,User ESN Mobile Id,EOL,Enabled Services,Asset,Account,Status,Last Event Time,JPOD Firmware,JPOD Config,BLE3 Firmware,EdgeApp Version / Hosted App Version,User Defined Mobile ID,VBUS Mode,Pending Firmware,Pending Script,Pending JPOD FW,Pending JPOD Config,Pending EdgeApp/ Hosted App,VBU3 Firmware,ICCID,Configuration,Activation Date,Air ID,Android OS Version,App ID,Architecture,Associated LMU,Associated MDT,Carrier Status,Category,Config Status,Created On,ESN,Firmware Status,Firmware Version,First ID Report Time,Groups,ICN Enabled,ID Report Time,IMEI,IMEI2,IMSI,iOn Tag,IP Address,ISDN,Kernel Version,Last AVL Time,Last Modified On,MDN,MEID,PEG Behavior,Script Identifier,Serial Number,Ship Date,VBUS Status,Vehicle Profile,VIN (ID Report),Radio Firmware,Disabled Services,
"9371739","Device_4764433234","4764433234","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","'89571017023107311299'","LMU2630_NoPEGBehavior","2024-05-30, 10:18 AM","U-RCW0-ND1T","","47","BIT_32","","","","LMU","","2024-05-30, 10:18 AM","4764433234","","85f","2025-02-17, 01:13 PM","","false","2025-11-06, 12:32 PM","352556103414319","","732101709731129","No","","","","","2025-04-11, 08:37 AM","","","","55.161","","2024-05-24, 10:47 AM","","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"9371801","Device_4764433310","4764433310","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","'89571017024037209835'","LMU2630_NoPEGBehavior","2024-05-30, 10:18 AM","U-5FY4-EG3L","","47","BIT_32","","","","LMU","","2024-05-30, 10:18 AM","4764433310","","85f","2025-02-27, 08:53 AM","","false","2025-11-06, 08:03 AM","354514101540963","","732101714720982","No","","","","","2025-02-27, 08:59 AM","","","","55.161","","2024-05-24, 10:47 AM","","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"9371896","Device_4764433469","4764433469","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","'89571017024037209744'","LMU2630_NoPEGBehavior","2024-05-30, 10:20 AM","U-AFZ2-JKB4","","47","BIT_32","","","","LMU","","2024-05-30, 10:20 AM","4764433469","","85f","2025-02-25, 08:16 AM","","false","2025-11-06, 09:07 AM","354514101542969","","732101714720973","No","","","","","2025-02-25, 08:20 AM","","","","55.161","","2024-05-24, 10:47 AM","","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"9371928","Device_4764433579","4764433579","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","'89571017023107311844'","LMU2630_NoPEGBehavior","2024-05-30, 10:21 AM","U-M88A-RDQ2","","47","BIT_32","","","","LMU","","2024-05-30, 10:21 AM","4764433579","","85f","2025-02-21, 08:52 AM","","false","2025-11-07, 04:51 AM","354514101574384","","732101709731184","No","","","","","2025-02-21, 08:58 AM","","","","55.161","","2024-05-24, 10:47 AM","","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"9578848","Device_4764434200","4764434200","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","'89571017025090611957'","LMU2630_NoPEGBehavior","2024-12-20, 11:23 AM","U-RR5K-J3JC","","47","BIT_32","","","","LMU","","2024-12-20, 11:23 AM","4764434200","","85f","2025-07-31, 10:45 AM","","false","2025-11-07, 06:14 AM","354514101593301","","732101732061193","No","","","","","2025-07-31, 10:45 AM","","","","55.161","","2024-12-20, 11:15 AM","","","","","BLE, BMS, CARGO, DDSAR, DOOR, EA, ICN, IVT, LMS, TPMS, VESCOUT, WETS, WMS",
"9578838","Device_4764434271","4764434271","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","'89571017025014415691'","LMU2630_NoPEGBehavior","2024-12-20, 11:23 AM","U-XTAZ-GYAC","","47","BIT_32","","","","LMU","","2024-12-20, 11:23 AM","4764434271","","85f","2025-06-26, 01:48 PM","","false","2025-11-07, 04:29 AM","352556103430497","","732101724441567","No","","","","","2025-08-28, 09:14 AM","","","","55.161","","2024-12-20, 11:15 AM","","","","","BLE, BMS, CARGO, DDSAR, DOOR, EA, ICN, IVT, LMS, TPMS, VESCOUT, WETS, WMS",
"9578758","Device_4764434435","4764434435","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","'89571017025014415675'","LMU2630_NoPEGBehavior","2024-12-20, 11:22 AM","U-TCT4-ZQNN","","47","BIT_32","","","","LMU","","2024-12-20, 11:22 AM","4764434435","","85f","2025-06-26, 06:32 AM","","false","2025-11-07, 05:36 AM","354514101558866","","732101724441565","No","","","","","2025-08-28, 11:33 AM","","","","55.161","","2024-12-20, 11:15 AM","","","","","BLE, BMS, CARGO, DDSAR, DOOR, EA, ICN, IVT, LMS, TPMS, VESCOUT, WETS, WMS",
"9578719","Device_4764434451","4764434451","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","'89571017025014415683'","LMU2630_NoPEGBehavior","2024-12-20, 11:22 AM","U-78PE-U61B","","47","BIT_32","","","","LMU","","2024-12-20, 11:22 AM","4764434451","","85f","2025-06-25, 11:11 AM","","false","2025-11-06, 10:33 AM","354514101559039","","732101724441566","No","","","","","2025-06-25, 11:12 AM","","","","55.61","","2024-12-20, 11:15 AM","","","","","BLE, BMS, CARGO, DDSAR, DOOR, EA, ICN, IVT, LMS, TPMS, VESCOUT, WETS, WMS",
"9372110","Device_4764434496","4764434496","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","'89571017023107311851'","LMU2630_NoPEGBehavior","2024-05-30, 10:23 AM","U-8M2B-FCCV","","47","BIT_32","","","","LMU","","2024-05-30, 10:23 AM","4764434496","","85f","2025-02-21, 08:41 AM","","false","2025-11-06, 06:32 AM","354514101568295","","732101709731185","No","","","","","2025-02-21, 08:43 AM","","","","55.161","","2024-05-24, 10:47 AM","","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"9578740","Device_4764434521","4764434521","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","'89571017025014415584'","LMU2630_NoPEGBehavior","2024-12-20, 11:22 AM","U-308A-A3XW","","47","BIT_32","","","","LMU","","2024-12-20, 11:22 AM","4764434521","","85f","2025-06-24, 10:54 AM","","false","2025-11-06, 11:45 AM","354514101581108","","732101724441556","No","","","","","2025-06-24, 10:56 AM","","","","55.61","","2024-12-20, 11:15 AM","","","","","BLE, BMS, CARGO, DDSAR, DOOR, EA, ICN, IVT, LMS, TPMS, VESCOUT, WETS, WMS",
