Device Name;Last Report Date;Create Time;IMEI;Device Type;Group;Iccid;MCU Firmware Version;Modem Version;Firmware Version;Configuration Version;Hardware Version;Battery Percentage;Battery Voltage;Platform Firmware Version;Last Platform Firmware Version;BT Firmware Version;BT Last Firmware Version;OBD Firmware Version;OBD Last Firmware Version;OBD Configuration Version;OBD Last Configuration Version;Backup Battery Charge State;Ignition State;CAN SN;CAN Module SW Version;Bootloader Version;BLE Bootloader Version;BLE Firmware Version;ECU Firmware Version;Wirepas Firmware Version;Wirepas Mesh API Version;Coprocessor Firmware Version;Wi-Fi Firmware Version;Modem Hardware Version
868574042936067;2025-11-07 11:32:01;2025-03-03 17:54:24;868574042936067;GV55W;Default group;89571017024037210460;;;R00A13V02;0102;01.12;83;3.97;;;;;;;;;;;;;;;;;;;;;
868574042957014;2025-11-06 19:20:59;2025-03-03 17:54:24;868574042957014;GV55W;Default group;89571017024037212599;;;R00A13V02;0102;01.12;100;4.17;;;;;;;;;;;;;;;;;;;;;
868574042960349;2025-11-07 02:16:01;2025-03-03 17:54:24;868574042960349;GV55W;Default group;89571017024093101207;;;R00A13V02;0102;01.12;100;4.14;;;;;;;;;;;;;;;;;;;;;
868574042939491;2025-11-07 13:30:08;2025-03-03 17:54:24;868574042939491;GV55W;Default group;89571017024037212607;;;R00A13V02;0112;01.12;0;2.69;;;;;;;;;;;;;;;;;;;;;
868574042945050;2025-11-07 02:50:07;2025-03-03 17:54:24;868574042945050;GV55W;Default group;89571017024037212672;;;R00A13V02;0102;01.12;70;3.88;;;;;;;;;;;;;;;;;;;;;
868574042956743;2025-11-06 16:34:44;2025-03-03 17:54:24;868574042956743;GV55W;Default group;89571017024093101215;;;R00A13V02;0102;01.12;100;4.18;;;;;;;;;;;;;;;;;;;;;
868574042949243;2025-11-07 03:14:00;2025-03-03 17:54:24;868574042949243;GV55W;Default group;89571017024037212797;;;R00A13V02;0102;01.12;100;4.19;;;;;;;;;;;;;;;;;;;;;
868574042960240;2025-11-06 21:57:26;2025-03-03 17:54:24;868574042960240;GV55W;Default group;89571017024037212615;;;R00A13V02;0102;01.12;100;4.15;;;;;;;;;;;;;;;;;;;;;
868574042947957;2025-11-07 12:13:58;2025-03-03 17:54:24;868574042947957;GV55W;Default group;89571017024037212706;;;R00A13V02;0102;01.12;74;3.91;;;;;;;;;;;;;;;;;;;;;
868574042953864;2025-11-07 13:46:23;2025-03-03 17:54:23;868574042953864;GV55W;Default group;89571017024093101199;;;R00A13V02;0102;01.12;93;4.06;;;;;;;;;;;;;;;;;;;;;
868574042961198;2025-11-06 17:05:56;2025-03-03 17:54:23;868574042961198;GV55W;Default group;89571017024093101223;;;R00A13V02;0102;01.12;100;4.18;;;;;;;;;;;;;;;;;;;;;
868574042943980;2025-11-07 02:53:02;2025-03-03 17:54:23;868574042943980;GV55W;Default group;89571017024093101181;;;R00A13V02;0102;01.12;100;4.18;;;;;;;;;;;;;;;;;;;;;
868574042932900;2025-11-07 02:43:09;2025-03-03 17:54:23;868574042932900;GV55W;Default group;89571017024037212722;;;R00A13V02;0102;01.12;100;4.20;;;;;;;;;;;;;;;;;;;;;
868574042952445;2025-11-07 03:18:44;2025-03-03 17:54:23;868574042952445;GV55W;Default group;89571017024037212110;;;R00A13V02;0112;01.12;98;4.11;;;;;;;;;;;;;;;;;;;;;
868574042945803;2025-11-07 11:31:51;2024-12-10 21:30:32;868574042945803;GV55W;Default group;89571017023099101617;;;R00A13V02;0102;01.12;68;3.87;;;;;;;;;;;;;;;;;;;;;
868574042934476;2025-11-04 02:27:19;2024-12-10 21:30:32;868574042934476;GV55W;Default group;89571017023099101344;;;R00A13V02;0102;01.12;67;3.86;;;;;;;;;;;;;;;;;;;;;
868574042928528;2025-11-07 03:05:36;2024-12-10 21:30:32;868574042928528;GV55W;Default group;89571017023099392802;;;R00A13V02;0102;01.12;100;4.16;;;;;;;;;;;;;;;;;;;;;
868574042931712;2025-11-07 02:26:50;2024-12-10 21:30:32;868574042931712;GV55W;Default group;89571017023107309491;;;R00A13V02;0102;01.12;97;4.10;;;;;;;;;;;;;;;;;;;;;
868574042931506;2025-11-07 03:06:56;2024-09-26 19:45:10;868574042931506;GV55W;Default group;89571016027092431815;;;R00A12V03;0102;01.12;100;4.17;;;;;;;;;;;;;;;;;;;;;
868574042920830;2025-11-07 02:10:44;2024-09-26 19:45:10;868574042920830;GV55W;Default group;89571016027092431450;;;R00A12V03;0102;01.12;100;4.17;;;;;;;;;;;;;;;;;;;;;
868574042915590;2025-11-07 02:50:27;2024-09-26 19:45:10;868574042915590;GV55W;Default group;89571016027092431252;;;R00A12V03;0102;01.12;79;3.93;;;;;;;;;;;;;;;;;;;;;
868574042907373;2025-11-06 22:35:13;2024-09-26 19:45:10;868574042907373;GV55W;Default group;89571016027092431906;;;R00A12V03;0102;01.12;100;4.18;;;;;;;;;;;;;;;;;;;;;
868574042910997;2025-11-07 03:04:57;2024-09-26 19:45:10;868574042910997;GV55W;Default group;89571016027092431468;;;R00A12V03;0102;01.12;97;4.09;;;;;;;;;;;;;;;;;;;;;
868574042908736;2025-11-07 02:55:46;2024-09-26 19:45:10;868574042908736;GV55W;Default group;89571016027092431443;;;R00A12V03;0102;01.12;100;4.18;;;;;;;;;;;;;;;;;;;;;
868574042924725;2025-11-07 03:35:40;;868574042901038;GV55W;Default group;89571016026042878653;;;R00A12V03;0102;01.12;99;4.11;;;;;;;;;;;;;;;;;;;;;
868574042924725;2025-11-07 03:30:55;;868574042896089;GV55W;Default group;89571015017080945893;;;R00A12V03;0112;01.12;69;3.88;;;;;;;;;;;;;;;;;;;;;
868574042924725;2025-11-07 14:55:13;;868574042841119;GV55W;Default group;89571017025090608029;;;R00A12V03;0000;01.12;100;4.15;;;;;;;;;;;;;;;;;;;;;
868574042782099;2025-11-07 02:19:27;;868574042782099;GV55W;Default group;89571016027096432629;;;R00A12V03;0102;01.12;100;4.16;;;;;;;;;;;;;;;;;;;;;
868574042686670;2025-11-07 02:42:47;;868574042686670;GV55W;Default group;89571016023083313088;;;R00A12V03;0112;01.12;75;3.91;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 02:25:43;2023-10-31 21:21:00;868574042712161;GV55W;Default group;89571016025024923107;;;R00A12V03;0102;01.12;100;4.19;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 02:13:49;2023-10-31 21:21:00;868574042733605;GV55W;Default group;89571016025024923461;;;R00A12V03;0102;01.12;100;4.14;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 02:28:10;2023-10-31 21:21:00;868574042674999;GV55W;Default group;89571016025024923479;;;R00A12V03;0102;01.12;71;3.89;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 02:35:17;2023-10-31 21:21:00;868574042599071;GV55W;Default group;89571016025024922778;;;R00A12V03;0102;01.12;100;4.18;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 03:11:27;2023-10-31 21:21:00;868574042719984;GV55W;Default group;89571016025024923057;;;R00A12V03;0102;01.12;74;3.91;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 02:24:45;2023-10-31 21:21:00;868574042745484;GV55W;Default group;89571016025024922836;;;R00A12V03;0102;01.12;78;3.93;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 02:24:27;2023-10-31 21:21:00;868574042708755;GV55W;Default group;89571016025024924055;;;R00A12V03;0102;01.12;100;4.15;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 03:11:43;2023-10-31 21:21:00;868574042717020;GV55W;Default group;89571016025024924071;;;R00A12V03;0102;01.12;100;4.20;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 02:46:36;2023-10-31 21:21:00;868574042746219;GV55W;Default group;89571016025024923651;;;R00A12V03;0102;01.12;100;4.14;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 02:21:15;2023-10-31 21:21:00;868574042744925;GV55W;Default group;89571016025024924139;;;R00A12V03;0102;01.12;100;4.16;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 02:48:29;2023-10-31 21:21:00;868574042734447;GV55W;Default group;89571016025024923719;;;R00A12V03;0102;01.12;73;3.90;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 03:03:04;2023-10-31 21:21:00;868574042735949;GV55W;Default group;89571016025024923925;;;R00A12V03;0102;01.12;98;4.10;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 03:03:33;2023-10-31 21:21:00;868574042745997;GV55W;Default group;89571016025024922851;;;R00A12V03;0102;01.12;77;3.92;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 02:24:12;2023-10-31 21:20:59;868574042669361;GV55W;Default group;89571016025024923206;;;R00A12V03;0102;01.12;100;4.20;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 03:16:09;2023-10-31 21:20:59;868574042732268;GV55W;Default group;89571016025024922737;;;R00A12V03;0102;01.12;100;4.20;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 02:15:14;2023-10-31 21:20:59;868574042745872;GV55W;Default group;89571016023116314616;;;R00A12V03;0102;01.12;100;4.16;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 03:24:24;2023-10-31 21:20:59;868574042726054;GV55W;Default group;89571016025024923453;;;R00A12V03;0102;01.12;100;4.18;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 03:06:26;2023-10-31 21:20:59;868574042722954;GV55W;Default group;89571016025024923420;;;R00A12V03;0102;01.12;100;4.12;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 11:53:12;2023-09-18 20:02:59;868574042441647;GV55W;Default group;89571016023037509930;;;R00A12V03;0112;01.12;100;4.16;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 12:10:41;2023-09-18 20:02:59;868574042444633;GV55W;Default group;89571016023037509906;;;R00A12V03;0112;01.12;74;3.90;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 02:28:15;2023-09-06 21:00:13;868574042445390;GV55W;Default group;89571016023037356209;;;R00A12V03;0112;01.12;73;3.90;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 13:46:03;2023-08-24 13:15:37;868574042448477;GV55W;Default group;89571015025030549368;;;R00A12V03;0112;01.12;95;4.08;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 11:23:57;2023-08-24 13:15:37;868574042433842;GV55W;Default group;89571016023087696595;;;R00A12V03;0112;01.12;7;3.57;;;;;;;;;;;;;;;;;;;;;
;2025-11-07 02:26:50;2023-08-24 13:15:37;868574042450234;GV55W;Default group;89571015019056278648;;;R00A12V03;0112;01.12;93;4.06;;;;;;;;;;;;;;;;;;;;;
868574042394366;2025-11-07 02:36:59;2023-06-22 16:49:51;868574042394366;GV55W;Default group;89571014016059816243;;;R00A12V03;0102;01.12;100;4.12;;;;;;;;;;;;;;;;;;;;;
868574042406418;2025-11-07 15:06:57;2023-06-22 16:49:51;868574042406418;GV55W;Default group;89571016023087696645;;;R00A12V03;0112;01.12;52;3.79;;;;;;;;;;;;;;;;;;;;;
868574042411236;2025-11-07 11:07:53;2023-06-22 16:49:51;868574042411236;GV55W;Default group;89571016021086993260;;;R00A12V03;0102;01.12;87;4.01;;;;;;;;;;;;;;;;;;;;;
868574041320354;2025-11-07 12:09:02;2023-04-20 21:46:58;868574041320354;GV55W;Default group;89571017025090602931;;;R00A12V03;0112;01.06;96;4.09;;;;;;;;;;;;;;;;;;;;;
868574041310025;2025-11-07 13:36:35;2023-04-20 21:46:58;868574041310025;GV55W;Default group;89571016023121619108;;;R00A12V03;0112;01.06;0;0.00;;;;;;;;;;;;;;;;;;;;;
868574041276200;2025-11-07 02:37:52;2023-04-20 21:46:58;868574041276200;GV55W;Default group;89571017025090602923;;;R00A12V03;0112;01.06;100;4.15;;;;;;;;;;;;;;;;;;;;;
868574041195905;2025-11-07 14:25:33;2023-04-20 21:46:58;868574041195905;GV55W;Default group;89571016023121618423;;;R00A12V03;0102;01.06;100;4.15;;;;;;;;;;;;;;;;;;;;;
