,Message
20,"+RESP:GTFRI,500700,868574042946678,,,10,1,4,0.0,288,-10.4,-79.012037,-8.133166,20250701182258,0716,0010,1018,40AC7DD,04,4,9912.7,00476:58:00,,,100,210100,,,,20250701182301,352D$"
21,"+RESP:GTFRI,500700,868574042946678,,,10,1,1,0.0,288,5.7,-79.012262,-8.133187,20250701182356,0716,0010,1018,40AC7DD,04,7,9912.7,00476:59:00,,,100,210100,,,,20250701182401,352E$"
22,"+RESP:GTFRI,500700,868574042946678,,,10,1,1,0.0,288,5.7,-79.012262,-8.133187,20250701182458,0716,0010,1018,40AC7DD,04,7,9912.7,00477:00:00,,,100,210100,,,,20250701182501,352F$"
23,"+RESP:GTFRI,500700,868574042946678,,,10,1,1,0.0,288,5.7,-79.012262,-8.133187,20250701182558,0716,0010,1018,40AC7DD,04,7,9912.7,00477:01:00,,,100,210100,,,,20250701182601,3530$"
24,"+RESP:GTFRI,500700,868574042946678,,,10,1,1,0.0,288,5.7,-79.012262,-8.133187,20250701182657,0716,0010,1018,40AC7DD,04,7,9912.7,00477:02:00,,,100,210100,,,,20250701182701,3531$"
25,"+RESP:GTFRI,500700,868574042946678,,,10,1,1,0.0,288,5.7,-79.012262,-8.133187,20250701182758,0716,0010,1018,40AC7DD,04,6,9912.7,00477:03:00,,,100,210100,,,,20250701182802,3532$"
26,"+RESP:GTFRI,500700,868574042946678,,,10,1,1,0.0,288,5.7,-79.012262,-8.133187,20250701182858,0716,0010,1018,40AC7DD,04,6,9912.7,00477:04:00,,,100,210100,,,,20250701182902,3533$"
27,"+RESP:GTFRI,500700,868574042946678,,,10,1,1,0.0,288,5.7,-79.012262,-8.133187,20250701182958,0716,0010,1018,40AC7DD,04,6,9912.7,00477:05:00,,,100,210100,,,,20250701183002,3534$"
28,"+RESP:GTFRI,500700,868574042946678,,,10,1,1,0.0,288,5.7,-79.012262,-8.133187,20250701183102,0716,0010,1018,40AC7DD,04,3,9912.7,00477:07:00,,,100,210100,,,,20250701183202,3535$"
29,"+RESP:GTFRI,500700,868574042946678,,,10,1,1,0.0,288,5.7,-79.012262,-8.133187,20250701183257,0716,0010,1018,40AC7DD,04,6,9912.7,00477:08:00,,,100,210100,,,,20250701183302,3536$"
