,Message
1,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,105.0,-77.626209,-11.089708,20250610125204,0716,0010,1018,40AC7DD,06,210100,0,20250701181401,351A$"
3,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,105.0,-77.626209,-11.089708,20250610125204,0716,0010,1018,40AC7DD,06,110000,0,20250701181416,351C$"
14,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,105.0,-77.626209,-11.089708,20250610125204,0716,0010,1018,40AC7DD,06,220100,0,20250701181856,3527$"
15,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,105.0,-77.626209,-11.089708,20250610125204,0716,0010,1018,40AC7DD,06,210100,0,20250701181916,3528$"
16,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,105.0,-77.626209,-11.089708,20250610125204,0716,0010,1018,40AC7DD,06,220100,0,20250701181937,3529$"
18,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,105.0,-77.626209,-11.089708,20250610125204,0716,0010,1018,40AC7DD,06,210100,0,20250701182017,352B$"
32,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,110000,4,20250701184303,3539$"
36,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,210100,4,20250701184653,353D$"
40,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,110000,4,20250701190651,3541$"
44,"+RESP:GTSTT,500700,868574042946678,,16,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,160000,4,20250701191011,3545$"
48,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,220100,4,20250701191222,3549$"
53,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,210100,4,20250701191531,354E$"
