TicketID;Subject;Encargado;Date Opened;Company;
TS000161084;QPAK para GL300W.;;25/09/2025;;
TS000161065;IntegraciÛn TopFly KNIGHT.;;24/09/2025;;
TS000150508;Power Up.;;;;
TS000160856;OBSERVACION UNIDAD FIGURA COMO APAGADA EN PLATAFORMA PXA;;;;
TS000160809;CLIENTE REPORTA FALLAS EN PLATAFORMA PX;;;;
TS000160794;SE CONFIGURA ODOMETRO YA QUE NO ESTABA TOMANDO LECTURAS PORR FALTA DE CONFIGURACION DE LA PLATAFORMA;;;;
TS000160710;QUEJA ERRORES ZONAR IGNITION;Harold;18/09/2025 14:44;PALMAR DE ALTAMIRA SAS;Revisar en PX
TS000160706;ERROR FORMULARIOS ZONAR IGNITION;Harold;18/09/2025 14:35;ENGINEERING PROJECTS AND SERVICES SAS;Capacitarme
TS000160619;OBSERVACIONES EN EL REPORTE DE LOGUEOS;Yo;16/09/2025 21:04;CORPORACION RICO S.A.C.;Laboraotorio
TS000160609;PROBLEMAS CON SOLICITUD DE VIDEO VIDFLEET CON LAS HORAS;;16/09/2025 17:45;LIMABUS INTERNACIONAL 1 S.A;Revissar en vm
TS000160371;ID Button no reporta salida;;11/09/2025 17:18;DEPOSITOS QUIMICOS MINEROS S.A.;Laboratorio
TS000160294;CORRECION DEL ANGULO DE LA CAMARA ( PRZ505 VF-AIR2 );;10/09/2025 13:51;SUNRISE TRUCKING S.A.S.;Revisar casos en JIRA
TS000160251;SOLICITUD CORRECCI√ìN VISUAL DE MODULO DE C√ÅMARAS EN EL APP MOVIL TSO FLEET PRO;;9/09/2025 17:12;COMERCIALIZADORA VICTOR ALVAREZ Y CIA S A S;
TS000159072;REVISI√ìN ALERTAS DE CONDUCTOR AL CLIENTE.;;19 Aug 2025 11:49 AM;COMERCIALIZADORA VICTOR ALVAREZ Y CIA S A S;Revisar config de c·mara y fata cruda
;Pedir reuniÛn con Katrina, esperar pruebas Herx, Pioner y Solar.;;;;
TS000160363;Error eventos de camara;;;;
TS000160159;CARGA DE PUNTOS RUTA - TAMBOS;Harold;;;
TS000160284;1. Funcionalidad prioritaria ñ VisualizaciÛn de video desde alertas en App mÛvil;Yo;;;
TS000160160;PROBLEMAS CON LAS CAMARAS;;;;
TS000159977;PROBLEMAS CON LA UBICACION unidad BPK942;https://gpstrackit.atlassian.net/browse/P3-50943;4/09/2025 12:15;LELY SPECIAL CORPORATION S.A.C;
TS000159805;Novedad c√°mara auxiliar en AIR2;;1/09/2025 13:28;TTSO MOBILE S.A.S. COLOMBIA.;
TS000140704;LANDMARK ERRADOS;;30 Jul 2024 5:59 PM;TRANSLIQUIDOS SAS;
TS000144935;VIDFLEET: Solicitud (GarantÌa Por Fallas);;12 Nov 2024 11:13 PM;TTSO MOBILE S.A.S. COLOMBIA.;
TS000146875;ERRORES EN EL REPORTE DIARIO UNIFICADO;;23 Dec 2024 1:13 PM;DON POLLO TROPICAL SAC;
TS000149945;Pruebas de sensor de combustible de varilla.;Jefe;28 Feb 2025 9:44 AM;TTSO MOBILE S.A.S COL;
TS000150508;Power Up.;;11 Mar 2025 11:16 AM;TTSO MOBILE S.A.S COL;
TS000152732;SOLICITUD 06 CAMARAS Y CONFIGURAR EXCESO VELOCIDAD;;25 Apr 2025 6:03 AM;C Y C TRANSPORT CORPORATION SAC;
TS000154165;InCabin. Mejoras en Work Order e Inspecciones.;Harold;20 May 2025 3:39 PM;TTSO MOBILE S.A.S COL;
TS000155231;UNIDAD NO REPORTA DE MANERA CORRECTA HORAS DE MOTOR HBZN580NKLAH21750;;06 Jun 2025 11:55 AM;HIDROSANT SAS;
TS000155321;Inconvenientes con el servicio de Teleanigo.;Jefe;08 Jun 2025 5:09 AM;TTSO MOBILE S.A.S COL;
TS000155924;LMU30H303 y LMU3035H;Movistar;18 Jun 2025 11:53 AM;TTSO MOBILE S.A.S COL;
TS000156274;IntegraciÛn GV58LAU.;;25 Jun 2025 3:26 PM;TTSO MOBILE S.A.S COL;
TS000156278;IntegraciÛn SolarX 120.;Yo;25 Jun 2025 3:33 PM;TTSO MOBILE S.A.S COL;
TS000156591;An·lisis tÈcnico de unidades CALAMP 2630 para SpaceFox.;;01 Jul 2025 3:24 PM;TTSO MOBILE S.A.S COL;
TS000156671;SEGUIMIENTO UNIDADES CON PROBLEMAS EN EL REPORTE DE HORAS TRABAJADAS DE MOTOR;;02 Jul 2025 2:20 PM;PRODUCTORA NACIONAL AVICOLA SAS;
TS000156705;UNIDAD NO REPORTA DE MANERA CORRECTA HORAS DE MOTOR;;02 Jul 2025 7:55 PM;TOYAMA EQUIPOS Y CONSTRUCCIONES SAS;
TS000156721;VIDFLEET: Solicitud (GarantÌa Por Fallas) 2;;03 Jul 2025 9:27 AM;TTSO MOBILE S.A.S COL;
TS000156733;Consulta de documentos de garantÌa de las unidades TSO.;Rob;03 Jul 2025 11:26 AM;TTSO MOBILE S.A.S COL;
TS000156737;Solicitud de integraciÛn con sistema empresarial de CorporaciÛn de transportes Bonilla Nano;;03 Jul 2025 12:09 PM;CORPORACION DE TRANSPORTE BONILLA NANO SAC;
TS000157022;CLIENTE INDICA QUE TIENE 3 UNIDADES Q NO SINCRONIZAN EN LA PLATAFORMA CLOUDFLEET;;08 Jul 2025 10:31 AM;CHILCO DISTRIBUIDORA DE GAS Y ENERGIA S.A.S E.S.P;
TS000157413;Script para moto para unidad TopFly Pioner X.;;15 Jul 2025 9:43 AM;TTSO MOBILE S.A.S COL;
TS000157516;GL300, GL300W y GL300N.;;16 Jul 2025 5:20 PM;TSO LABORATORIO PERU;
TS000157637;Manual de configuraciÛn de c·mara VidFleet 4K.;Freddy;19 Jul 2025 9:23 AM;TTSO MOBILE S.A.S COL;
TS000157662;Novedad de conexiÛn en Avansat TMS.;;21 Jul 2025 8:28 AM;ZONA LOGISTICA SAS;
TS000157980;Clientes en PX y clientes en TSO.;;28 Jul 2025 11:41 AM;TTSO MOBILE S.A.S COL;
TS000158202;SOLICITUD INTEGRACION PLATAFORMA PRIMAX;;31 Jul 2025 5:31 PM;ARBEY ESTIVEN RIASCO GARCIA;
TS000158203;SOLICITUD INTEGRACION PLATAFORMA PRIMAX;;31 Jul 2025 5:35 PM;LUBRYCO Y CIA SAS;
TS000158501;Pruebas mitac-k.;;08 Aug 2025 2:12 PM;TTSO MOBILE S.A.S COL;
TS000158824;RetransmisiÛn por †API;;8/13/2025 3:06:46 PM;BETON DECKEN S.A.C.;
TS000158948;metodos de consumo de api rest - SERVICIOS AEROPORTUARIOS ANDINOS SA;;8/15/2025 10:14:02 AM;SERVICIOS AEROPORTUARIOS ANDINOS SA;
TS000159244;VIDFLEET: Solicitud (GarantÌa Por Fallas) 3;;8/21/2025 10:57:38 AM;TTSO MOBILE S.A.S COL;
TS000159323;Migracion Modulo de Mantenimiento a Ignition (Cloud);;;;
TS000159394;CAMARA CON ANGULOS ERRONES SE VALIDAD Y EL FIRMWARE ESTA DESACTUALIZADO ( JUY851 );;25 Aug 2025 9:31 AM;CHILCO DISTRIBUIDORA DE GAS Y ENERGIA S.A.S E.S.P;
TS000159471;INTEGRACION PLATAFORMA CEMEX;;26 Aug 2025 11:31 AM;OMAR CARVAJAL MORALES;
;;;;;
;;;;;
;;;;;
