,IMEIS_calamp
0,359369091068409.0
1,359369091023644.0
2,352556102949950.0
3,354514101461277.0
4,352556102759284.0
5,358077093312367.0
6,354514101217661.0
7,358077091909529.0
8,358077091191680.0
9,354514101230680.0
10,358077093344923.0
11,352556102295610.0
12,358077093392096.0
13,354514101242933.0
14,358077093310874.0
15,357041069266701.0
16,358077093351209.0
17,352556102295933.0
18,358077093624860.0
19,358077093348296.0
20,358077093320691.0
21,357041065244850.0
22,352556102520207.0
23,358077093346761.0
24,357041064117610.0
25,352556102026379.0
26,358077093351902.0
27,358077093313597.0
28,358077093400980.0
29,354514101231589.0
30,358077093310015.0
31,358077093351522.0
32,358077093129787.0
33,358077093311997.0
34,358077093182828.0
35,354514101217141.0
36,358077093378921.0
37,358077093499313.0
38,354514101200725.0
39,354514101228718.0
40,354514101223156.0
41,358077093350896.0
42,358077093349005.0
43,358077093345003.0
44,354514101200600.0
45,358077093316087.0
46,358077093613871.0
47,354514101587139.0
48,352556102448151.0
49,358077091844486.0
50,358077093520654.0
51,358077093315816.0
52,352556102465056.0
53,359369091357596.0
54,352556102276784.0
55,352556102442352.0
56,865640064549048.0
57,358077091918314.0
58,357041064154282.0
59,357041064225843.0
60,358077093335913.0
61,354514102532498.0
62,354514102310655.0
63,358077093358725.0
64,358077093182802.0
65,354514102532266.0
66,354514102545805.0
67,354514102350610.0
68,354514102543768.0
69,354514102540483.0
70,354514102534809.0
71,354514102543388.0
72,354514102535392.0
73,354514102545946.0
74,354514102489392.0
75,354514102294081.0
76,354514102534247.0
77,354514102545730.0
78,354514102533249.0
79,354514102406750.0
80,354514102531516.0
81,354514102549229.0
82,354514102550078.0
83,354514102545573.0
84,354514102549377.0
85,358077093128060.0
86,354514102530724.0
87,354514102534155.0
88,354514102538974.0
89,354514101566794.0
90,354514101564914.0
91,354514101547646.0
92,358077093311120.0
93,354514101202499.0
