TicketID;Subject;Dealer;Company;Assign To;Reg By;Jira Number;Homework;Ask to;Date opened
TS000165912;Falla en solicitud de video.;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;TSO-3700;Exponer en TSO - Planing;Carlos;12/30/2025 5:42:47 PM
TS000165886;VIDFLEET: Solicitud (GarantíasPor Fallas) 4;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;;Esperar respuesta de cv@letronics.com,emily.groh@waylens.com. Alejandra y Gerardo copiados.;Alejandra;12/30/2025 9:07:53 AM
TS000165827;INCREMENTO EN EL HOROMETRO MX194;TSO Colombia - IBO SEGTEC;LOGISTICA DE CARGA ESPECIALIZADA MULTIMODAL SAS LOGICEM - CARTAGENA;José Hurtado;Jahidine Navia;;Solicitar mail de contaco a Jahidine porque no veo error alguno. Consulté a Carlos y el tampoco entiende el problema.;Empty;12/29/2025 9:02:22 AM
TS000165820;VIDFLEET: Validación Tiempo de Cámaras en Línea;TSO Mobile - Colombia;TTSO MOBILE S.A.S. COLOMBIA.;José Hurtado;gerardo loaiza;TSO-3698;Reunión con Don Daniel, Alejandra y el cliente.;Empty;12/28/2025 5:54:11 PM
TS000165787 ;NO VISUALIZA ALERTAS DE VELOCIDAD Y FATIGA CORTA SMO706;TSO Mobile - Colombia;COMERCIALIZADORA VICTOR ALVAREZ Y CIA S A S;José Hurtado;Jahidine Navia;TSO-3499;Consultar a Freddy como es el mapeo de eventos y alertas en TSO. Está en vacas hasta el 06-01-2026,;Fredy;12/26/2025 2:58:50 PM
TS000165779;CONSUMO COMBUSTIBLE NOVIEMBRE;TSO Colombia - IBO SEGTEC;PROYECTOS DE INGENIERIA SA PROING SA;José Hurtado;Jahidine Navia;Empty;"Hacer pruebas digitando valores en la plantilla ""Eficiencia de Combustible""";Harold;12/26/2025 12:00:27 PM
TS000164931;ERROR STATUS COBRO JURIDICO - RECLAMOS CLIENTES POR BLOQUEO;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;Diana Ramirez Fernandez;TSO-3699;Espreando respuesta de Carlos;Fredy;12/05/2025 15:35
TS000163067;SCRIPT OSINERMING PARA TOPFLY;TSO Mobile Peru;TRACKING SOLUTION TSO MOBILE S.A.C;José Hurtado;Daniel guardamino;TSO-3695;Socializar con los Danieles;Danieles;30/10/2025 11:17
TS000165503;AUXILIARES SIN REPORTE GFP865;TSO Colombia - IBO SEGTEC;GPS SEGTEC SAS;José Hurtado;Dilia Jimenez Cogollo;TSO-3675;Carlos consultará a Julian y nos informará.;Carlos;19 Dec 2025 9:41 AM
TS000165668;RECLAMO DE LA PLATAFORMA POR ERRORES DE LATENCIA;TSO Mobile Peru;LELY SPECIAL CORPORATION S.A.C (22716);José Hurtado;Jose Hidalgo;Empty;Consultar con Jose Hidalgo;Carlos;22 Dec 2025 5:47 PM
TS000165485;Error Camara Transportes Hagemsa;TSO Mobile Peru;TRANSPORTES HAGEMSA S.A.C.;José Hurtado;Harold Dominguez;Empty;Consultar UTC en los reportes;Yo;18 Dec 2025 5:40 PM
TS000165453;Inconsistencia en información ralenti unidades;TSO Mobile - Colombia;TRANSPORTES BRAHMAN S.A.S.;José Hurtado;Diana García;Empty;Consultar a Harold si lo generé bien en PM;Yo;18 Dec 2025 11:42 AM
TS000165218;REPORTE DE RELENTI DE UNIDADES DENTRO DE GEOCERCAS;TSO Mobile Peru;EMPRESA AGROINDUSTRIAL POMALCA S.A.A. (;José Hurtado;Jose Hidalgo;TSO-3691;Consultar a Freddy si se hará en PM. Freddy en Vacas.;Fredy;12 Dec 2025 4:32 PM
TS000165245;NO VISUALIZA CAMARA AUX UFE984 - MQB882 - EQW230 - WGR156;TSO Mobile - Colombia;COMERCIALIZADORA VICTOR ALVAREZ Y CIA S A SÂ ;José Hurtado;Jahidine Navia;TSO-3675;Esperando respuesta de Desarrollo;Carlos;15 Dec 2025 10:40 AM
TS000165342;HABILITAR LAS CAMARAS AUXILIARES;TSO Mobile - Colombia;SUPER CARNES JH SAS;José Hurtado;Lina Giraldo;TSO-3675;Esperando respuesta de Desarrollo;Carlos;16 Dec 2025 4:24 PM
TS000163976;REPLICA DE TRANSMISION unidadÂ A5J-825Â // requiere RETRANSMICION cliente KIMBERLY CLACK - plataforma FORKITES;TSO Mobile - Peru;TRANSPORTES J.J.C.A E.I.R.LÂ ;José Hurtado;Jose Hidalgo;Empty;Consultar el lunes con Freddy y Jorge;Yuliana, Freddy, Jorge;19/11/2025 18:56
TS000160013;DISEÑAR PLANTILLA PARA CAMBIO DE DATOS PRECIOS - UNIDADES MASIVO;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;Diana Ramirez Fernandez;TSO-3555;Preguntar a Diana quién es Jenny;Fredy, Jenny;5/09/2025 8:06
TS000164775;CAMBIO O BLOQUEO DE VISTA INTERIOR - OJO DE PEZ;TSO Mobile - Peru;SERVICIO DE LOGISTICA EXPRESS SOCIEDAD ANONIMA CERRADA;José Hurtado;Jorge Solis;TSO-3693;Espreando respuesta, Freddy en vacas;Fredy;04 Dec 2025 10:33 AM
TS000165220;ALERTAS DE VELOCIDAD EN GEOCERCAS A PARTIR DE 5KM/H - ASIMISMO VALIDAR EN TSO PLATAFORMA SI ES POSIBLE;TSO Mobile - Peru;SERVICIOS AEROPORTUARIOS ANDINOS SA;José Hurtado;Jose Hidalgo;TSO-3677;Consultar las alertas con Jose Hidalgo de la geocerca Zonar trials segÃºn el notebook saa TS000165220;Jose Hidalgo;12 Dec 2025 4:37 PM
TS000163723;NO SE VISUALIZAN CAMARAS AUXILIARES;TSO Mobile - Colombia;SUNRISE TRUCKING S.A.S.;José Hurtado;Lina Giraldo;TSO-3675;Esperar respuesta de Desarrollo;Carlos;13/11/2025 14:51
TS000164581;TopFly HeroX 100;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;SGSD-7374;Consultar a Greg y Robert que llave usaron;Greg y Robert;01 Dec 2025 3:16 PM
TS000164571;SOLICITUDES VARIAS - PLATAFORMA TSO;TSO Mobile - Peru;BUS SERVICE AUTOMOTRIZ S.A.C;José Hurtado;Jose Hidalgo;Empty;Consultar con Freddy. 09-12-2025. Fredy en vacas;Fredy;01 Dec 2025 1:00 PM
TS000164451;DEV: Solicitud cración caso para desarrollo;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;Nathaly Martinez;PM-6854;Esperar respuesta de Desarrollo;Julian;27/11/2025 16:11
TS000164384;ENVIAR ALERTA AL CORREO EN PTE DE PAGO CON 10 DIAS;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;Diana Ramirez Fernandez;TSO-3669;Según reunión de TSO - Planning del día 15-12-2025, debemos agendar una reunión con Daniel Ocampo y Diana Ramirez para determinar si es facible hacer este desarrollo o si podemos esperar hasta la puesta en marcha de Sales Force. Fredy en vacas;Fredy;26/11/2025 18:01
TS000164382;RESTRICCION PARA GENERAR NUEVOS CASOS SI EL CLIENTE TIENE CARTERA VENCIDA (CUENTA EN MORA-RESTRINGUIDO- JURIDICO);TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;Diana Ramirez Fernandez;TSO-3670;Según reunión de TSO - Planning del día 15-12-2025, debemos agendar una reunión con Daniel Ocampo y Diana Ramirez para determinar si es facible hacer este desarrollo o si podemos esperar hasta la puesta en marcha de Sales Force. Fredy en vacas;Fredy;26/11/2025 17:13
TS000164335;Asignacion por eliminacion de usuario;TSO Mobile - Colombia;TTSO MOBILE S.A.S COLÂ ;José Hurtado;Johan Piraquive;TSO-3652;Jesus dice que está¡ ocupado ahora;Carlos;26/11/2025 9:48
TS000159795;GARANTIA UNIDAD VDM-700 NO FUNCIONA APAGADO REMOTO;TSO Mobile - Peru;LAIAX APLICACIONES INDUSTRIALES S.A.C.;José Hurtado;Juan Mosquera;Empty;A la espera de reunión con Plivo 27-01-2026;Gerardo;1/09/2025 11:21
TS000163798;Unidades no reportan en Ignition.;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;PM-6796;A la espera de respuesta de Valeria y Devin, Épica de JIRA de los mas importante;Valeria, Yuliana;15/11/2025 10:23
TS000159988;ADICIONAR CAMPO COMMENTS EN REPORTE CUSTOMER;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;Diana Ramirez Fernandez;TSO-3558;Reunión con Fredy. Fredy en vacas;Fredy;4/09/2025 13:54
TS000157637;Manual de Configuración deCámaraa VidFleet 4K.;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;TSO-3499;Preguntar a Fredy. Fredy en vacas;Fredy;19/07/2025 9:23
TS000156278;IntegraciónSolarX 120.;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;PM-6853;Esperando envío de Solar X 120 a Robert y respuesta de Desarrollo;Dan Ocampo, Julian Mina;25/06/2025 15:33
TS000156274;IntegraciónGV58LAU.;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;P3-50191;Espreando respuesta;Robert, Libardo ZuÃ±oga;25/06/2025 15:26
TS000154165;InCabin. Mejoras en Work Order e Inspecciones.;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;TSO-3439;Exponer en JIRA;Oscar Ceballos;20/05/2025 15:39
TS000152732;SOLICITUD 06 CAMARAS Y CONFIGURAR EXCESO VELOCIDAD;TSO Mobile - Peru;C Y C TRANSPORT CORPORATION SAC;José Hurtado;Jimmy Portilla;Empty;Espreando respuesta, Fredy en vacas;Fredy;25 Apr 2025 6:03 AM
TS000150202;NOTIFICAR A VENDEDOR CUANDO SE LE CREA UN LEAD MANUALMENTE;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;Laura Velasquez;Empty;Reu con Laura y Freddy. Fredy en vacas;Fredy;5/03/2025 18:27
TS000162405;ERROR EN CRM;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;Johan Piraquive;TSO-3639;Espera de solución de Desarrollo;Carlos;17/10/2025 15:06
TS000161857;CREAR CAMPO EDITABLE DE LISTA PARA EL GRUPO DE BILLIN GROUP;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;Diana Ramirez Fernandez;TSO-3668;Según reunión de TSO - Planning del dÃ­a 15-12-2025, debemos agendar una reunión con Daniel Ocampo, Freddy Villamil, Diana Ramirez y yo para determinar si es facible hacer este desarrollo o si podemos esperar hasta la puesta en marcha de Sales Force. Fredy en vacas;Fredy;7/10/2025 15:31
TS000160363;Error eventos de camara;TSO Mobile - Colombia;SUNRISE TRUCKING S.A.S.;José Hurtado;Harold Dominguez;Empty;Esperar capacitación con Freddy. Fredy en vacas;Fredy;11/09/2025 15:03
TS000159520;Integración- Sistema TMS / Tottus / EXACTA;TSO Mobile - Peru;EXACTA OPERADOR LOGISTICO S.A.C.;José Hurtado;Sandro Velasco;Empty;Del lado del cliente;Sandro Velasco;26 Aug 2025 5:45 PM
TS000159244;VIDFLEET: Solicitud (GarantíasPor Fallas) 3;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;Empty;Espreando respuesta;Dan Ocampo, Rob case, Gerardo;21 Aug 2025 10:57 AM
TS000149945;Pruebas de sensor de combustible de varilla.;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;Empty;Espero prueba en vehÃ­culo real;Gerardo;28/02/2025 9:44
TS000144935;VIDFLEET: Solicitud (GarantíasPor Fallas);TSO Mobile - Colombia;TTSO MOBILE S.A.S. COLOMBIA.;José Hurtado;gerardo loaiza;Empty;Espreando respuesta;Dan Ocampo, Rob case, Gerardo;12/11/2024 23:13
TS000163787;ALERTA DE UNIDAD EN GEOCERCA;TSO Mobile - Peru;LELY SPECIAL CORPORATION S.A.C;José Hurtado;Jose Hidalgo;Empty;Pruebas con cal 2630, el lunes 01-12 1BL4, espera de accesorio;Gerardo;14/11/2025 16:49
TS000163772;CRM no notifica llegada de LEADS;TSO Mobile - Peru;TRACKING SOLUTION TSO MOBILE S.A.C;José Hurtado;Empty;Empty;Reu con Laura, Fredy en vacas;Laura, Fredy;14/11/2025 14:32
TS000163620;FALLA REPORTE CAMARAS EMPRESA BRAHMAN;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;Luis Montaño;Empty;Monitorear;Yo;11/11/2025 17:22
TS000163255;INTEGRACION A PLATAFORMA UNIGIS Y RETRANSMICION A CLIENTE ALICORP;TSO Mobile - Peru;GLD TRANSPORT S.A.C;José Hurtado;Jose Hidalgo;TSO-3640;Del lado del cliente;Jose Hidalgo;4/11/2025 18:00
TS000163078;REVISION CAMARAS CFI-942, CDW-714 Y CFI-908;TSO Mobile - Peru;DISTRIBUIDORA CONTINENTAL 6 S.A;José Hurtado;Jorge Solis;Empty;A la espera de registro de Opsitel;Daniel G;30/10/2025 12:37
TS000163006;PROBLEMAS SEÑAL CAMARAS AIR 2;TSO Mobile - Peru;NOVA SERVICES S.A.C.;José Hurtado;Jorge Solis;Empty;A la espera de registro de Opsitel;Daniel G;29/10/2025 15:05
TS000162962;IntegraciónESTARTER.;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;P3-51701;Consultar con Jenny Barriga como va el proceso;Jenny;29/10/2025 9:57
TS000162503;RemodelaciÓn de almacén de inventario.;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;Empty;A la espera de espacio con Daniel B;Daniel B;20/10/2025 15:38
TS000162071;SOLICITUDES DEL AREA DE OPERACIONES SAASA A DESARROLLO;TSO Mobile - Peru;SERVICIOS AEROPORTUARIOS ANDINOS SA;José Hurtado;Jose Hidalgo;Empty;A la espera de la llegada del accesorio;Gerardo;10/10/2025 11:35
TS000161839;SOLICITUD DE INTEGRACION PLATAFORMA TSO A EXACTA - OPERACION CENCOSUD;TSO Mobile - Peru;EXACTA OPERADOR LOGISTICO S.A.C.;José Hurtado;Jose Hidalgo;TSO-3618;Seguir grupo de Whatsapp;Jose Hidalgo;7/10/2025 11:58
TS000161349;Integraciónde todas las unidades LATAM en PX.;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;Empty;Espera dereunión con Dan Ocampo, Fredy, Gerardo y Jhon Ruiz;Gerardo, Dan, Jhon y Fredy;29/09/2025 15:38
TS000161066;REVISION DE UNIDADES SIN REPORTAR;TSO Mobile - Peru;BUS SERVICE AUTOMOTRIZ S.A.C;José Hurtado;Olga Díaz;PM-6854;Revisar configuración para ver si aun la tiene, que no se haya reestablecido;Julian;24/09/2025 17:45
TS000161065;IntegraciónTopFly KNIGHT.;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;SGSD-7395;A la espera de reu con Robert;Robert;24/09/2025 17:39
TS000159072;REVISIÓNN ALERTAS DE CONDUCTOR AL CLIENTE.;TSO Mobile - Colombia;COMERCIALIZADORA VICTOR ALVAREZ Y CIA S A S;José Hurtado;Manuel luna;Empty;A la espera de capacitación. Fredy en vacas;Fredy;19 Aug 2025 11:49 AM
TS000158948;metodos de consumo de api rest - SERVICIOS AEROPORTUARIOS ANDINOS SA;TSO Mobile - Peru;SERVICIOS AEROPORTUARIOS ANDINOS SA;José Hurtado;Jose Hidalgo;Empty;Stand By, capacitación pendiente;Jose Hidalgo;15 Aug 2025 10:14 AM
TS000158501;Pruebas mitac-k.;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;Empty;A la espera de envío de SIM a Dave Ledgerwood;Yo;08 Aug 2025 2:12 PM
TS000158203;SOLICITUD INTEGRACION PLATAFORMA PRIMAX;TSO Mobile - Colombia;LUBRYCO Y CIA SAS;José Hurtado;Juan Mosquera;TSO-3535;A la espera de respuesta de Desarrollo;Carlos;31/07/2025 17:35
TS000158202;SOLICITUD INTEGRACION PLATAFORMA PRIMAX;TSO Mobile - Colombia;ARBEY ESTIVEN RIASCO GARCIA;José Hurtado;Juan Mosquera;TSO-3535;A la espera de respuesta de Desarrollo;Carlos;31/07/2025 17:31
TS000156721;VIDFLEET: Solicitud (GarantíasPor Fallas) 2;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;Empty;Espreando respuesta;Dan Ocampo, Rob case, Gerardo;3/07/2025 9:27
TS000156591;Análisis técnico de unidades CALAMP 2630 para SpaceFox.;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;José Hurtado;Empty;Esperando accesorio. Pruebas de aprovisionamiento por SMS;Gerardo;1/07/2025 15:24
TS000133123;VOLVER A REASIGNAR LEADS 4 HORAS SIN ATENDER;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;José Hurtado;Laura Velasquez;TSO-2880;Reu con Laura;Laura, Fredy;6/02/2024 14:42
TS000163708;ERROR EN REPORTE DE EVENTOS;TSO Mobile - Colombia;ECOBANO SAS;José Hurtado;Cesar Briñez;TSO-3654;Esperando consulta de Fredy a John;Fredy;13/11/2025 10:42
TS000165695;Reporte Unidades Instaladas por Caso;TSO Mobile - Colombia;TTSO MOBILE S.A.S COL;JosÃ© Hurtado;Evelyn Llanos Tobar;Empty;Esperando respuesta de Gerardo;Gerardo;23 Dec 2025 10:05 AM
