ID,Name,Identifier,Model,User ESN Mobile Id,EOL,Enabled Services,Asset,Account,Status,Last Event Time,JPOD Firmware,JPOD Config,BLE3 Firmware,EdgeApp Version / Hosted App Version,User Defined Mobile ID,VBUS Mode,Pending Firmware,Pending Script,Pending JPOD FW,Pending JPOD Config,Pending EdgeApp/ Hosted App,VBU3 Firmware,ICCID,Configuration,Activation Date,Air ID,Android OS Version,App ID,Architecture,Associated LMU,Associated MDT,Carrier Status,Category,Config Status,Created On,ESN,Firmware Status,Firmware Version,First ID Report Time,Groups,ICN Enabled,ID Report Time,IMEI,IMEI2,IMSI,iOn Tag,IP Address,ISDN,Kernel Version,Last AVL Time,Last Modified On,MDN,MEID,PEG Behavior,Script Identifier,Serial Number,Ship Date,VBUS Status,Vehicle Profile,VIN (ID Report),Radio Firmware,Disabled Services,
2827430,,4672005020,TTU2830,,No,,,TSO Columbia,Enabled,,,,,,,,,,,,,,89011703278600649068,TTU2830 - Null PEGBehavior,"2023-06-12, 8:21 AM",U-9H4C-3VH5,,445,BIT_32,,,,TTU,,"2023-06-12, 8:21 AM",4672005020,,85f,2022-08-16T17:14:41.000Z,,false,"2025-12-11, 7:11 AM",864919052309404,,310170860064906,TTU2830 - Null PEGBehavior,,,,,"2024-12-06, 5:20 AM",,,,9.120,,,ON,,,BG96MAR04A04M1G_01.004.01.004,"CARGO,LMS,TPMS,ICN,WETS,IVT,BMS,BLE,WMS,EA,DOOR",
2829471,,1363145526,LMU330,,No,,,TSO Columbia,Enabled,,,,,,,,,,,,,,8957123112009139831,LMU330 - Null PEGBehavior,"2023-06-12, 9:17 AM",U-97TD-FET9,,17,BIT_8,,,,LMU,,"2023-06-12, 9:17 AM",1363145526,,29b,2021-01-20T15:32:19.000Z,,false,"2025-12-11, 8:15 AM",358077092414644,,732123652514460,LMU330 - Null PEGBehavior,,,,,"2025-06-27, 6:17 AM",,,,7.163,,,ON,,,,"TPMS,WETS,IVT,VESCOUT,BMS,DOOR,CARGO,LMS,ICN,BLE,DDSAR,EA,WMS",
2829955,,1363189344,LMU330,,No,,,TSO Columbia,Enabled,,,,,,,,,,,,,,8957123112102786967,LMU330 - Null PEGBehavior,"2023-06-12, 9:17 AM",U-5L6V-TKX0,,17,BIT_8,,,,LMU,,"2023-06-12, 9:17 AM",1363189344,,29f,2022-11-09T19:43:02.000Z,,false,"2025-08-19, 11:29 AM",352556102948028,,732123659086255,LMU330 - Null PEGBehavior,,,,,"2025-08-19, 11:22 AM",,,,7.173,,,ON,,,,"TPMS,WETS,IVT,VESCOUT,BMS,DOOR,CARGO,LMS,ICN,BLE,DDSAR,EA,WMS",
2829956,,1363115968,LMU330,,No,,,TSO Columbia,Enabled,,,,,,,,,,,,,,89571016021086998814,LMU330 - Null PEGBehavior,"2023-06-12, 9:17 AM",U-7GL4-E2PZ,,17,BIT_8,,,,LMU,,"2023-06-12, 9:17 AM",1363115968,,29b,2022-02-10T02:49:20.000Z,,false,"2025-12-11, 10:09 AM",359369090616414,,732101619690259,LMU330 - Null PEGBehavior,,,,,"2025-06-27, 6:02 AM",,,,7.163,,,ON,,,,"TPMS,WETS,IVT,VESCOUT,BMS,DOOR,CARGO,LMS,ICN,BLE,DDSAR,EA,WMS",
2829957,,1363118676,LMU330,,No,,,TSO Columbia,Enabled,,,,,,,,,,,,,,89571016020105249332,LMU330 - Null PEGBehavior,"2023-06-12, 9:17 AM",U-QZWH-BGR0,,17,BIT_8,,,,LMU,,"2023-06-12, 9:17 AM",1363118676,,29b,2022-01-30T22:08:50.000Z,,false,"2025-12-11, 5:49 AM",359369091068409,,732101609524933,LMU330 - Null PEGBehavior,,,,,"2024-12-06, 5:22 AM",,,,7.72,,,ON,,,,"CARGO,LMS,TPMS,ICN,WETS,IVT,BMS,BLE,WMS,EA,DOOR",
2829958,,1363118556,LMU330,,No,,,TSO Columbia,Enabled,,,,,,,,,,,,,,89571016020105249464,LMU330 - Null PEGBehavior,"2023-06-12, 9:17 AM",U-Y12Y-ENYE,,17,BIT_8,,,,LMU,,"2023-06-12, 9:17 AM",1363118556,,29b,2022-01-28T16:01:28.000Z,,false,"2024-09-12, 4:10 AM",359369091023644,,732101609524946,LMU330 - Null PEGBehavior,,,,,"2024-12-06, 5:22 AM",,,,7.72,,,ON,,,,"CARGO,LMS,TPMS,ICN,WETS,IVT,BMS,BLE,WMS,EA,DOOR",
2829959,,1363187479,LMU330,,No,,,TSO Columbia,Enabled,,,,,,,,,,,,,,8957123112215340835,LMU330 - Null PEGBehavior,"2023-06-12, 9:17 AM",U-ETQT-8H3T,,17,BIT_8,,,,LMU,,"2023-06-12, 9:17 AM",1363187479,,29f,2022-11-24T21:42:18.000Z,,false,"2025-12-11, 11:52 PM",352556102769622,,732123300110997,LMU330 - Null PEGBehavior,,,,,"2025-06-27, 6:20 AM",,,,7.163,,,ON,,,,"TPMS,WETS,IVT,VESCOUT,BMS,DOOR,CARGO,LMS,ICN,BLE,DDSAR,EA,WMS",
2829961,,1363109403,LMU330,,No,,,TSO Columbia,Enabled,,,,,,,,,,,,,,89571015020113167956,LMU330 - Null PEGBehavior,"2023-06-12, 9:17 AM",U-X16T-3ZEY,,17,BIT_8,,,,LMU,,"2023-06-12, 9:17 AM",1363109403,,29d,2020-03-27T22:44:23.000Z,,false,"2025-12-11, 7:21 AM",359369090338803,,732101541313325,LMU330 - Null PEGBehavior,,,,,"2025-06-27, 1:09 PM",,,,7.163,,,ON,,,,"TPMS,WETS,IVT,VESCOUT,BMS,DOOR,CARGO,LMS,ICN,BLE,DDSAR,EA,WMS",
2829964,,1363106071,LMU330,,No,,,TSO Columbia,Enabled,,,,,,,,,,,,,,89571011010039920988,LMU330 - Null PEGBehavior,"2023-06-12, 9:17 AM",U-FGP8-TMT8,,17,BIT_8,,,,LMU,,"2023-06-12, 9:17 AM",1363106071,,29f,2020-06-24T22:46:14.000Z,,false,"2025-09-16, 10:54 AM",358077091650081,,732101140000535,LMU330 - Null PEGBehavior,,,,,"2025-09-16, 10:52 AM",,,,7.173,,,ON,,,,"TPMS,WETS,IVT,VESCOUT,BMS,DOOR,CARGO,LMS,ICN,BLE,DDSAR,EA,WMS",
2829965,,1363113734,LMU330,,No,,,TSO Columbia,Enabled,,,,,,,,,,,,,,89571016020010114902,LMU330 - Null PEGBehavior,"2023-06-12, 9:17 AM",U-PE7U-KXRU,,17,BIT_8,,,,LMU,,"2023-06-12, 9:17 AM",1363113734,,29b,2021-01-19T13:32:43.000Z,,false,"2025-12-11, 10:23 AM",359369090075629,,732101600011490,LMU330 - Null PEGBehavior,,,,,"2025-06-26, 7:02 PM",,,,7.163,,,ON,,,,"TPMS,WETS,IVT,VESCOUT,BMS,DOOR,CARGO,LMS,ICN,BLE,DDSAR,EA,WMS",
2829966,,1363186051,LMU330,,No,,,TSO Columbia,Enabled,,,,,,,,,[7.72] 887837,,,,,8951101639419943914,LMU330 - Null PEGBehavior,"2023-06-12, 9:17 AM",U-JLA4-WZ9J,,17,BIT_8,,,,LMU,PENDING,"2023-06-12, 9:17 AM",1363186051,,29b,2023-03-29T21:24:15.000Z,,false,"2024-02-22, 2:14 PM",352556102100760,,716101641994391,LMU330 - Null PEGBehavior,,,,,"2024-12-06, 5:22 AM",,,,7.163,,,ON,,,,"CARGO,LMS,TPMS,ICN,WETS,IVT,BMS,BLE,WMS,EA,DOOR",
2829967,,1363184984,LMU330,,No,,,TSO Columbia,Enabled,,,,,,,,,,,,,,8951101639419944292,LMU330 - Null PEGBehavior,"2023-06-12, 9:17 AM",U-ADKK-8YTH,,17,BIT_8,,,,LMU,,"2023-06-12, 9:17 AM",1363184984,,29f,2023-04-29T21:19:17.000Z,,false,"2025-12-11, 8:41 AM",352556102014821,,716101641994429,LMU330 - Null PEGBehavior,,,,,"2025-11-26, 8:40 AM",,,,7.165,,,ON,,,,"TPMS,WETS,IVT,VESCOUT,BMS,DOOR,TELECRYPT,CARGO,LMS,ICN,BLE,DDSAR,EA,WMS",
2829968,,1363116768,LMU330,,No,,,TSO Columbia,Enabled,,,,,,,,,[7.72] 887837,,,,,89571016021086993583,LMU330 - Null PEGBehavior,"2023-06-12, 9:17 AM",U-89M0-H1TH,,17,BIT_8,,,,LMU,PENDING,"2023-06-12, 9:17 AM",1363116768,,29b,2022-02-22T12:54:12.000Z,,false,"2024-05-11, 8:29 AM",359369090627429,,732101619689736,LMU330 - Null PEGBehavior,,,,,"2024-12-06, 5:22 AM",,,,7.163,,,ON,,,,"CARGO,LMS,TPMS,ICN,WETS,IVT,BMS,BLE,WMS,EA,DOOR",
2829969,,1363116710,LMU330,,No,,,TSO Columbia,Enabled,,,,,,,,,,,,,,89571015025019070923,LMU330 - Null PEGBehavior,"2023-06-12, 9:17 AM",U-V3LB-UCMF,,17,BIT_8,,,,LMU,,"2023-06-12, 9:17 AM",1363116710,,29b,2022-06-21T19:31:29.000Z,,false,"2025-12-11, 10:00 AM",359369090563624,,732101591848102,LMU330 - Null PEGBehavior,,,,,"2025-06-27, 7:35 AM",,,,7.163,,,ON,,,,"TPMS,WETS,IVT,VESCOUT,BMS,DOOR,CARGO,LMS,ICN,BLE,DDSAR,EA,WMS",
