,IMEI,Unit ID,Unit Type,Unit
1,354514102409705,17UC,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,XVW496
3,354514101547612,11NA,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,XVW251
6,358077091131801,0O8B,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,XME019
7,358077093174429,0Y6W,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,XME 022
9,358077093335798,0Y3D,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,WNN653
11,358077093348221,0WYG,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,WHO689
15,358077093310494,0Y3E,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,WGW575
17,354514101199612,927Q,CalAmp 2630 - HSPA -LMU26H3001-G1000,WGW574
19,354514101547554,17SK,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,WGV657
21,354514101189191,0Y20,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,TTV173
23,354514101574715,17SI,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,SZM606
25,358077093191746,0Y3Y,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,SXX144
27,358077092810940,0Y9X,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,SXR583
29,358077093310957,0YCG,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,STA584
31,354514101581074,0EFK,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,STA495
33,358077092807656,0EBJ,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,STA491
35,354514102409184,02Z7,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,STA488
37,354514102373083,00JG,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,STA454
39,354514101564591,17S2,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,SSX894
41,354514101568667,11MR,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,SPH045
43,354514102532076,0X2S,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,SMI935
45,358077093315642,0D1B,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LWY561
50,354514102538750,12S1,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,LWY404
52,354514101594382,19P4,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL853
54,352556103396995,19U0,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL851
56,354514101594259,19SO,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL840
58,354514101566216,17VG,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL712
60,354514101536326,17SJ,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL704
62,354514101526293,17UU,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL701
64,354514101594614,11M9,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL636
66,354514101573329,17DH,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL626
68,354514101595876,0WZW,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL625
70,358077093309231,17XW,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL617
72,354514101197822,14GI,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL616
74,359369091289997,18YU,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL614
76,354514101563064,17HF,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL613
78,358077093353924,0Y5N,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,GQV636
79,354514101563155,11PC,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,GFQ085
80,357041064135414,0ZB2,CalAmp 2630 - 3G - LMU2631H-H000-G1000,LWY406
