ID,Name,Identifier,Model,User ESN Mobile Id,EOL,Enabled Services,Asset,Account,Status,Last Event Time,JPOD Firmware,JPOD Config,BLE3 Firmware,BSP Modem Firmware,Cell Radio Firmware,EdgeApp Version / Hosted App Version,User Defined Mobile ID,VBUS Mode,Pending Firmware,Pending Script,Pending JPOD FW,Pending JPOD Config,Pending EdgeApp/ Hosted App,VBU3 Firmware,ICCID,Configuration,Activation Date,Air ID,Android OS Version,App ID,Architecture,Associated LMU,Associated MDT,Carrier Status,Category,Config Status,Created On,ESN,Firmware Status,Firmware Version,First ID Report Time,Groups,ICN Enabled,ID Report Time,IMEI,IMEI2,IMSI,iOn Tag,IP Address,ISDN,Kernel Version,Last AVL Time,Last Modified On,MDN,MEID,PEG Behavior,Script Identifier,Serial Number,Ship Date,VBUS Status,Vehicle Profile,VIN (ID Report),Radio Firmware,Disabled Services,
"2829967","","1363184984","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8951101639419944292'","LMU330 - Null PEGBehavior","2023-06-12, 09:17 AM","U-ADKK-8YTH","","17","BIT_8","","","","LMU","","2023-06-12, 09:17 AM","1363184984","","29b","2023-04-29, 02:19 PM","","false","2025-10-29, 01:13 PM","352556102014821","","716101641994429","No","","","","","2025-01-31, 11:38 AM","","","","55.182","","","ON","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"2830031","","1363184979","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8951101639419944318'","LMU330 - Null PEGBehavior","2023-06-12, 09:17 AM","U-XLJ1-96DH","","17","BIT_8","","","","LMU","","2023-06-12, 09:17 AM","1363184979","","29b","2023-04-29, 02:38 PM","","false","2025-10-29, 01:04 PM","352556102091902","","716101641994431","No","","","","","2025-01-31, 03:11 PM","","","","55.182","","","ON","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"2830164","","1363185112","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8951101639419943989'","LMU330 - Null PEGBehavior","2023-06-12, 09:17 AM","U-59W2-5CLK","","17","BIT_8","","","","LMU","","2023-06-12, 09:17 AM","1363185112","","29b","2023-04-27, 04:39 PM","","false","2025-10-29, 02:37 PM","352556102099228","","716101641994398","No","","","","","2025-01-31, 05:51 AM","","","","55.182","","","ON","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"3052440","","1363184988","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8951101639419944375'","LMU330 - Null PEGBehavior","2023-06-19, 09:55 AM","U-1WMT-YPH9","","17","BIT_8","","","","LMU","","2023-06-19, 09:55 AM","1363184988","","29b","2023-04-29, 01:14 PM","","false","2025-10-29, 10:49 AM","352556102014557","","716101641994437","No","","","","","2025-01-31, 01:22 PM","","","","55.182","","","ON","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"3052861","","1363184605","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8951101632045960931'","LMU330 - Null PEGBehavior","2023-06-19, 09:56 AM","U-9P0E-EKFE","","17","BIT_8","","","","LMU","","2023-06-19, 09:56 AM","1363184605","","29d","2023-03-09, 09:04 AM","","false","2025-10-29, 05:18 PM","354514101459628","","716101604596093","No","","","","","2025-02-07, 12:31 PM","","","","55.182","","","ON","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"3052873","","1363186025","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8951101639419943740'","LMU330 - Null PEGBehavior","2023-06-19, 09:56 AM","U-CW7Q-XPZ8","","17","BIT_8","","","","LMU","","2023-06-19, 09:56 AM","1363186025","","29f","2023-04-29, 02:53 PM","","false","2025-10-30, 03:32 AM","352556102099384","","716101641994374","No","","","","","2025-10-28, 02:45 AM","","","","7.165","","","ON","","","","BLE, BMS, CARGO, DDSAR, DOOR, EA, ICN, IVT, LMS, TELECRYPT, TPMS, VESCOUT, WETS, WMS",
"3053070","","1363185113","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8951101639419943997'","LMU330 - Null PEGBehavior","2023-06-19, 09:57 AM","U-YUPG-EXEB","","17","BIT_8","","","","LMU","","2023-06-19, 09:57 AM","1363185113","","29b","2023-04-27, 04:32 PM","","false","2025-10-29, 06:32 AM","352556102050585","","716101641994399","No","","","","","2025-01-31, 08:45 PM","","","","55.182","","","ON","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"4110772","","4764400252","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8951101630726670720'","LMU2630_NoPEGBehavior","2023-07-12, 11:18 AM","U-XE1N-M4NM","","47","BIT_32","","","","LMU","","2023-07-12, 11:18 AM","4764400252","","85f","2022-02-28, 02:05 PM","","false","2025-10-30, 06:03 AM","354514101232009","","716101672667072","No","","","","","2025-01-30, 02:02 PM","","","","55.182","","","ON","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"4179657","","1363192117","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8951101630733493355'","LMU330 - Null PEGBehavior","2023-07-14, 09:47 AM","U-HW1M-R39W","","17","BIT_8","","","","LMU","","2023-07-14, 09:47 AM","1363192117","","29d","2023-06-27, 04:09 AM","","false","2025-09-27, 09:10 AM","352556102917452","","716101673349335","No","","","","","2025-04-30, 10:58 AM","","","","55.182","","","ON","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"4231890","","4764428669","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8951101639968786391'","LMU2630_NoPEGBehavior","2023-07-18, 12:59 PM","U-ZE2G-JBHH","","47","BIT_32","","","","LMU","","2023-07-18, 12:59 PM","4764428669","","85f","2025-03-10, 01:48 PM","","false","2025-10-29, 05:47 PM","354514102529221","","716101696878639","No","","","","","2025-05-12, 01:26 PM","","","","7.19","","","ON","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"4232523","","4764386022","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8951101632870695206'","LMU2630_NoPEGBehavior","2023-07-18, 01:00 PM","U-Q0T7-156Z","","47","BIT_32","","","","LMU","","2023-07-18, 01:00 PM","4764386022","","85f","2024-05-22, 07:47 AM","","false","2025-10-30, 06:30 AM","358077093181408","","716101687069520","No","","","","","2025-07-12, 09:31 AM","","","","55.182","","","ON","","","","BLE, BMS, CARGO, DDSAR, DOOR, EA, ICN, IVT, LMS, TPMS, VESCOUT, WETS, WMS",
"4233252","","4764386009","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8951101632870695131'","LMU2630_NoPEGBehavior","2023-07-18, 01:02 PM","U-5KC1-FAHX","","47","BIT_32","","","","LMU","","2023-07-18, 01:02 PM","4764386009","","85f","2024-05-21, 02:26 PM","","false","2025-08-08, 02:44 PM","358077093313167","","716101687069513","No","","","","","2025-01-30, 01:05 PM","","","","55.182","","","ON","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
"4233518","","4764385965","LMU2630","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8951101632870695099'","LMU2630_NoPEGBehavior","2023-07-18, 01:02 PM","U-LJ0G-Z90R","","47","BIT_32","","","","LMU","","2023-07-18, 01:02 PM","4764385965","","85f","2024-06-03, 02:50 PM","","false","2025-10-30, 06:40 AM","358077093191704","","716101687069509","No","","","","","2025-02-21, 12:33 PM","","","","55.182","","","ON","","","","BLE, BMS, CARGO, DOOR, EA, ICN, IVT, LMS, TPMS, WETS, WMS",
