,IMEI,Unit,Last Contact On
0,869487061792874,W6I-922,14/09/2025
1,869487061642947,W1I-925,25/08/2025
2,868574042953237,V8Q-946,26/11/2025
3,868574042866967,F3H-875,26/11/2025
4,358077093313167,F1Z-923,18/11/2025
5,358077093358253,DOG-717,26/11/2025
6,868574042952122,D6J-851,26/11/2025
7,358077093181408,D6B-722,26/11/2025
8,869487061749932,D2A-853,26/11/2025
9,868574042842661,D1Z-845,26/11/2025
10,358077093347215,D0G-753,25/11/2025
11,869487064451296,D0E-841,26/11/2025
12,353816055192027,COZ-825,26/11/2025
13,868574042927546,CBF-807,26/11/2025
14,358077093192272,CBF-763,26/11/2025
15,868574042944731,CBE-942,26/11/2025
16,869487064498347,CBD-772,26/11/2025
17,868574042938519,C6L-708,26/11/2025
18,868574042949516,C6B-745,26/11/2025
19,868574042936588,C6A-743,26/11/2025
20,868574042435094,C1T-877,26/11/2025
21,354514102529221,C1F-994,26/11/2025
22,868574042909023,C0Z-900,21/09/2025
23,352556102014821,BPU-933,26/11/2025
24,352556102099228,BPT-942,26/11/2025
25,352556102050585,BPM-802,3/11/2025
26,869487064397275,BPM-788,26/11/2025
27,868574042402938,BPM-787,26/11/2025
28,352556102091902,BPM-730,31/10/2025
29,352556102014557,BPM-729,26/11/2025
30,868574042440987,BPL-937,27/09/2025
31,352556102099384,BPL-830,26/11/2025
32,869487064375578,BPK-942,26/11/2025
33,352556102917452,BPK-941,26/11/2025
34,868574042937289,BPK-884,26/11/2025
35,869487064428401,BPK-862,4/09/2025
36,869487064442097,BOH-845,26/11/2025
37,868574042919246,BJN-910,26/11/2025
38,869487061788351,BHJ-934,21/11/2025
39,868574042959580,B7X-937,26/11/2025
40,868574042917562,B7R-452,26/11/2025
41,869487061723812,B6Y-738,26/11/2025
42,868574042943931,B6W-754,26/11/2025
43,868574042446091,B6Q-799,18/06/2025
44,868574042846621,B5F-836,26/11/2025
45,868574042947494,B3O-838,13/11/2025
46,868574042943279,AYY-748,26/11/2025
47,354514101459628,ASW-895,26/11/2025
48,359394056247517,ACX-717,26/11/2025
49,868574042451455,ACW-719,26/11/2025
50,868574042908439,A4B-861,26/11/2025
51,358077093191704,A2Q-929,26/11/2025
52,868574042956586,7390-YC,26/11/2025
53,354514101232009,BPL-700,26/11/2025
