,IMEI
0,358077092199005
1,352556102797540
2,351628098671962
3,354514101199323
4,359369091340485
5,358077091143517
6,359369091340717
7,358077092214630
17,358077091384582
19,357041062957140
20,354514101594176
21,358077090867546
22,357041069707100
23,359369091288585
24,358077091191532
25,358077092192984
26,351628093145533
27,351628098660809
28,351628098730354
29,351628093020447
31,352556102033664
32,354514101190397
33,351628098670741
34,351628093143611
35,351628098667325
36,352556101994338
37,351628098646964
39,351628093166265
40,351628093234303
41,359369091279113
42,351628093210048
43,35807709114790
44,359369091284915
46,359369091339990
47,357041069871229
48,359369091278750
49,351628093090242
50,359369091279477
51,358077091131942
52,359369091286118
