,Tipo de Unidad,Fecha Último Evento,IMEI,Serial,Unidad
0,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,10/06/2025,354514101541540,4764433395,LZM117
1,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,10/06/2025,354514101595553,4764433565,NOY235
2,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,10/06/2025,354514101564849,4764433748,MYY520
3,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,10/06/2025,354514101540112,4764433527,LPY964
4,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,10/06/2025,354514101543603,4764434651,LLQ608
5,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,10/06/2025,354514101539825,4764433461,GUU552
6,Queclink GV55W,10/06/2025,868574042936802,S2-M007693-18V1,NUZ020
7,Queclink GV55W,10/06/2025,868574042956750,S2-M007693-18TO,NUV009
8,Topfly PioneerX,10/06/2025,869487061816723,PioneerX100-18SG,PMW840
9,Topfly PioneerX,10/06/2025,869487061666110,PioneerX100-18YX,JTP836
