Device Name;Last Report Date;Create Time;IMEI;Device Type;Group;Iccid;MCU Firmware Version;Modem Version;Firmware Version;Configuration Version;Hardware Version;Battery Percentage;Battery Voltage;Platform Firmware Version;Last Platform Firmware Version;BT Firmware Version;BT Last Firmware Version;OBD Firmware Version;OBD Last Firmware Version;OBD Configuration Version;OBD Last Configuration Version;Backup Battery Charge State;Ignition State;CAN SN;CAN Module SW Version;Bootloader Version;BLE Bootloader Version;BLE Firmware Version;ECU Firmware Version;Wirepas Firmware Version;Wirepas Mesh API Version;Coprocessor Firmware Version;Wi-Fi Firmware Version;Modem Hardware Version
868574042744552;2025-07-05 13:07:58;;868574042744552;GV55W;Default group;89571016023083317154;;;R00A10V09;0102;01.12;100;4.20;;;;;;;;;;;;;;;;;;;;;
868574042749395;2025-07-06 00:46:53;;868574042749395;GV55W;Default group;89571016023083314409;;;R00A10V09;0102;01.12;100;4.17;;;;;;;;;;;;;;;;;;;;;
868574042751052;2025-07-05 11:36:12;;868574042751052;GV55W;Default group;89571016023083316172;;;R00A10V09;0102;01.12;16;3.66;;;;;;;;;;;;;;;;;;;;;
;2025-07-05 10:56:33;2023-08-24 13:15:37;868574042453204;GV55W;Default group;89571016023121574816;;;R00A10V09;0102;01.12;0;3.32;;;;;;;;;;;;;;;;;;;;;
868574042406905;2025-07-06 02:29:42;2023-06-22 16:49:51;868574042406905;GV55W;Default group;89571016023087695860;;;R00A12V03;0102;01.12;95;4.08;;;;;;;;;;;;;;;;;;;;;
868574042408307;2025-07-06 02:01:50;2023-06-22 16:49:51;868574042408307;GV55W;Default group;89571016023121625626;;;R00A10V09;0102;01.12;100;4.16;;;;;;;;;;;;;;;;;;;;;
868574042406525;2025-07-05 14:46:15;2023-06-22 16:49:51;868574042406525;GV55W;Default group;89571017023107310481;;;R00A10V09;0102;01.12;100;4.15;;;;;;;;;;;;;;;;;;;;;
868574042410618;2025-07-05 14:01:52;2023-06-22 16:49:51;868574042410618;GV55W;Default group;89571016023121622987;;;R00A10V09;0102;01.12;95;4.07;;;;;;;;;;;;;;;;;;;;;
868574042384854;2025-07-06 09:30:06;2023-06-22 16:49:51;868574042384854;GV55W;Default group;89571016023121626129;;;R00A10V09;0102;01.12;100;4.18;;;;;;;;;;;;;;;;;;;;;
868574041240982;2025-07-05 17:49:17;2023-06-22 16:49:51;868574041240982;GV55W;Default group;89571016023121622037;;;R00A10V09;0102;01.06;0;0.00;;;;;;;;;;;;;;;;;;;;;
868574041208021;2025-07-06 02:25:24;2023-06-22 16:49:50;868574041208021;GV55W;Default group;89571016023121622136;;;R00A10V09;0102;01.06;0;0.00;;;;;;;;;;;;;;;;;;;;;
868574041382453;2025-01-31 02:28:22;2023-06-22 16:49:50;868574041382453;GV55W;Default group;89571016023121622201;;;R00A10V09;0102;01.06;100;4.13;;;;;;;;;;;;;;;;;;;;;
868574041211504;2025-07-04 09:47:47;2023-06-22 16:49:50;868574041211504;GV55W;Default group;89571016023121621864;;;R00A10V09;0102;01.06;81;3.95;;;;;;;;;;;;;;;;;;;;;
868574041211553;2025-07-06 03:09:37;2023-06-22 16:49:50;868574041211553;GV55W;Default group;89571016023121621658;;;R00A10V09;0102;01.06;100;4.15;;;;;;;;;;;;;;;;;;;;;
868574041252474;2025-07-02 17:20:26;2023-06-22 16:49:50;868574041252474;GV55W;Default group;89571016023121621625;;;R00A10V09;0102;01.06;0;3.17;;;;;;;;;;;;;;;;;;;;;
868574041301289;2025-07-06 02:25:08;2023-04-20 21:46:58;868574041301289;GV55W;Default group;89571016023121621898;;;R00A10V09;0102;01.06;100;4.17;;;;;;;;;;;;;;;;;;;;;
