,IMEI
10004,352556102097024
10020,352556102769655
10151,359369091110839
10158,359369090338803
10164,868574042442041
10169,352556102050734
10170,354514101463620
10196,352556102943987
10204,352556102796674
10205,354514101465724
10223,358077093474027
10224,358077093474720
10225,358077093459317
10233,354514101466490
10238,359369091024105
10246,352556102771446
10248,352556102766438
10249,352556102759961
10250,352556102759102
10251,359369091331641
10253,352556102754483
10254,352556102765448
10255,352556102766800
10318,358077091735361
10319,359369090621299
10358,359369091070207
10410,359369091025763
10413,352556102902249
10499,352556102922023
10518,359369090367752
10519,358077092401005
10540,359369090072733
10580,359369091345476
10601,358077091721445
10602,358077091794152
10603,359369090055126
10637,352556102952640
10653,352556102926388
10660,359369091087300
10661,352556102920175
10682,359369090346814
10732,352556102319964
10734,352556102741829
10737,352556102917619
10738,358077091730180
10739,352556102898892
10763,354514101475954
10770,352556102003543
10777,352556102767600
10778,352556102759300
10780,352556102776155
10792,354514101462879
10793,352556102755670
10820,352556102934952
10828,354514101459016
10832,359369090622883
10840,359369091031860
10848,358077092206990
10855,358077091697835
10863,359369091233490
10864,359369091047684
10865,359369091139945
10894,359369091125571
10895,359369090506458
10898,352556102056319
10900,358077091733176
10908,359369091106589
10909,359369091026290
10910,359369091040051
10911,359369091139374
10913,359369091161410
10914,359369091041695
10915,359369091140620
10916,359369091030292
10917,359369091203568
10918,359369091043659
10919,359369091146809
10920,359369091040770
10921,359369091061685
10922,359369091037024
10924,352556102759243
10925,359369091043907
10926,352556102764961
10927,359369091025086
10935,351628096219939
10968,354514101467043
11017,352556102808420
11023,352556102053290
11041,351628096711786
11055,358077091712089
11056,359369091087813
11057,359369091106746
11060,354514101459792
11077,354514101461103
11078,352556102086340
11079,352556102946568
11080,352556102921090
11125,352556102919078
11137,352556102084956
11153,359369090563624
11177,351628096254464
11178,359369090054475
11179,359369091135570
11183,352556102055386
11186,354514101465104
11190,359369091156337
11214,352556102099228
11215,352556102050585
11216,352556102015000
11219,352556102014557
11220,352556102014136
11221,352556102091944
11223,352556102917452
11224,352556102091902
11225,352556102099384
11236,354514101459628
11293,359369090110152
