,Unit Type,Unit ID,Unit,Last Event Date,IMEI
507,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0PMU,KIA SPORTAGE,6/26/2025 9:04:16 AM,359369091110417
534,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0RLV,PRIUS (H77-AHW),6/26/2025 9:47:08 AM,354514101586222
4251,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0S82,Nissan,6/26/2025 12:00:29 PM,352556102784068
4253,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QF4,749AJ5,6/26/2025 11:05:31 AM,359369091102950
4255,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0XU9,TKB446,6/26/2025 7:51:54 AM,352556102950370
4256,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0XWD,VJE889,6/26/2025 12:10:33 PM,352556102748808
4257,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0XWF,VBH205,6/26/2025 12:08:40 PM,357041065247911
4266,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KN3,VZI159,6/26/2025 11:44:31 AM,359369090552759
4268,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0TWW,GUQ537,6/26/2025 12:10:59 PM,352556102757825
4275,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0UV4,KNX402,6/26/2025 11:57:23 AM,352556102948077
4276,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0UV8,GKP902,6/26/2025 10:26:05 AM,352556102903031
4277,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0UV9,EON629,6/26/2025 11:54:50 AM,352556102804650
4279,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0VIX,LMZ271,6/26/2025 12:10:58 PM,352556102056228
4347,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QBU,ZNL666,6/26/2025 12:06:46 PM,359369091064820
4383,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0NV8,SP103,6/26/2025 12:06:04 PM,358077093034102
4384,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QF7,SP822,6/26/2025 9:13:19 AM,359369091200606
4386,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QFF,SP321,6/26/2025 11:49:23 AM,359369091083994
4387,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QFI,SP221,6/26/2025 8:33:54 AM,359369091065900
4388,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QG6,SP422,6/26/2025 9:48:06 AM,359369091199303
4389,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QG8,SP322,6/26/2025 8:49:23 AM,359369091063020
4390,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QK6,AV122,6/26/2025 11:05:49 AM,359369091106662
4391,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QKO,SP722,6/26/2025 8:45:41 AM,359369091085767
4392,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QKQ,SP522,6/26/2025 9:12:24 AM,359369091108015
4393,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QKR,SP622,6/26/2025 10:14:27 AM,359369091160446
4394,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QLF,CUBY1,6/26/2025 11:03:12 AM,354514101572495
4395,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QUX,CUBY2,6/26/2025 11:53:54 AM,354514101573717
4414,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QI2,SY007CCBE1868,6/26/2025 9:48:21 AM,359369091072161
4443,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,04CD,WOM411,6/26/2025 12:11:42 PM,352556102056475
4451,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,07VB,WOL258,6/26/2025 12:08:10 PM,358077091710117
4452,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,07VK,WOL260,6/26/2025 12:08:05 PM,358077091793303
4470,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0K4E,GHO967,6/26/2025 11:21:05 AM,359369090372778
4471,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0K4F,GHO946,6/26/2025 10:28:39 AM,352556102936619
4472,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0K4H,GHO828,6/26/2025 12:02:24 PM,358077092148671
4473,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0K4I,GHO842,6/26/2025 8:37:55 AM,359369090537701
4474,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0K4J,GHO935,6/26/2025 6:57:51 AM,351628096195162
4475,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KBF,WOM251,6/26/2025 12:03:13 PM,35807709215250
4476,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KKB,WOM250,6/26/2025 9:40:32 AM,359369090328192
4477,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KLI,SVO529,6/26/2025 12:10:19 PM,359369090544459
4478,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KLN,WOM052,6/26/2025 12:02:27 PM,359369090383833
