,IMEI
13881,352556102734782
13882,352556102756066
13883,352556102767808
13884,352556102767725
13885,352556102768723
13887,352556102767303
13888,352556102750267
13890,352556102754319
13892,352556102948879
13893,352556102764144
13894,358077091666889
13895,352556102751059
13897,352556102942153
13899,352556102768129
13902,352556102767782
13904,352556102949810
13905,352556102768889
13907,352556102949554
13909,352556102720781
13912,352556102936544
13913,352556102927691
13914,352556102936445
13916,352556102899353
13917,352556102770018
13929,868574042731591
13932,868574042751011
13937,359369091023735
13942,352556102016446
13943,352556102053795
13944,354514101454900
13983,359369091023149
13984,359369090245628
13986,359369090563814
13987,359369090375391
14001,352556102766271
14002,352556102520108
14011,359369090458056
14012,354514101459479
14027,358077091722286
14038,354514101458992
14039,868574042427299
14050,358077092104211
14064,352556102890121
14082,352556102088163
14091,358077090538568
14092,358077090710407
14118,358077091821286
14119,352556102766529
14122,352556102898355
14147,352556102911000
14153,352556102901233
14155,352556102949315
14156,352556102912149
14157,352556102837262
14159,352556102934366
14172,352556102750184
14192,352556102749699
14193,352556102750994
14194,352556102937948
14195,352556102949083
14212,352556102952848
14213,354514101467019
14214,354514101461368
14264,359369090618410
14265,359369091030672
14274,358077091735403
14279,359369091080552
14316,352556102938524
14317,358077092374608
14330,359369091320008
14338,359369090548328
14339,359369090370327
14387,359369091086609
14390,352556102952657
14428,352556102769606
14437,354514101454702
14518,359369091257960
14519,352556102897951
14521,358077091733671
14522,358077093606321
14585,352556102950701
14586,352556102100505
14587,352556102051872
14588,352556102100703
14589,354514101466862
14593,352556102775553
14614,358077091745279
14617,352556102002347
14622,352556102776965
14637,352556102055071
14640,352556102043853
14643,354514101466193
14739,359369090038502
14757,358077093499511
14796,359369091143160
14803,359369091067062
14841,354514101466151
14843,354514101453076
14847,352556102950925
14848,359369090042538
14852,352556102772246
14855,352556102905259
14864,358077093048318
14866,354514101580803
14893,352556102100745
14894,352556102051096
14982,359369091102323
14985,352556102768202
14991,357041069781097
14992,359369090578622
14993,359369091160487
15002,359369090086568
15009,359369090074523
15013,352556102769739
15132,359369090052941
15135,352556102917577
15136,352556102771628
15138,359369090592862
15143,352556102935033
15161,359369091142196
15177,352556102900144
15179,352556102949950
15201,351628096254142
15203,359369090611670
15241,352556102949604
15251,354514101466029
15252,352556102096976
15261,352556102892556
15267,359369090063393
15268,357041069807330
15269,354514101581264
15270,354514101580654
15271,354514101581835
15272,354514101530931
15273,354514101567347
15348,359369090064409
15350,359369090034287
15351,359369090062718
15353,358077091727574
15354,358077091791174
15355,359369090064193
15358,359369090062965
15383,352556102719486
15445,359369091218251
15446,358077092134978
15447,359369091221370
15464,359369090042421
15466,358077092091954
15467,358077092087150
15473,358077092091947
15474,358077092088869
15475,358077091813549
15476,358077091711149
15477,358077092399357
15478,359369091023438
15481,359369090034386
15487,359369091319943
15494,359369091064812
15498,359369091068409
15515,352556102015166
15546,359369091086096
15547,354514101585984
15548,354514101567206
15582,359369091239729
15583,358077092400411
15584,359369091070603
15587,352556102951113
15616,359369091066643
15618,352556102277261
15628,352556102015547
15629,354514101460758
15636,352556102934275
15640,352556102948465
15672,359369091200028
15791,352556102950503
15797,352556102916132
15846,352556102798266
15865,352556102950115
15880,352556102938425
15881,358077091705653
15895,358077091704730
15897,352556102763427
15898,358077093073522
15899,358077093040034
15904,322556102761355
15933,359369091069779
15955,352556102938227
15963,359369090039203
15964,358077091700498
15965,358077091697868
15966,359369091139291
15967,358077093068688
15969,359369091201042
15970,359369091076758
15971,359369091085825
15972,359369091087649
15973,359369091077194
15974,359369091199816
15975,359369091071171
15976,359369091065165
15977,359369091199287
15978,359369091024758
15979,359369091060729
15980,359369091024774
15981,359369091197786
15982,359369091040200
15983,359369091203642
15986,359369091046512
15988,359369091047007
15989,359369091197455
15993,354514101571968
15994,354514101580753
15995,354514101584953
15997,354514101532002
15998,354514101517920
15999,354514101532267
16000,354514101571620
16001,354514101570283
16030,351628096618247
16043,354514101461202
16061,358077093495949
16095,352556102771768
16112,352556102056350
16113,352556102053878
16114,354514101464115
16115,352556102014110
16128,352556102296303
16135,352556102934887
16136,352556102920464
16137,352556102930174
16138,352556102950636
16140,352556102798191
16141,352556102949398
16142,352556102750465
16143,352556102761363
16145,352556102936700
16167,352556102770950
16183,352556102015174
16194,352556102014789
16345,358077092340930
16347,358077092176078
16349,358077092397385
16383,359369090432028
16386,359369090573706
16387,358077092189261
16389,35807792206396
16403,354514101452888
16409,352556102944886
16411,352556102950883
16432,359369091141081
16461,359369091108460
16490,352556102750564
16491,359369090558939
19463,358077092423116
19466,352556102808255
19588,359369091024485
19660,352556102953267
20742,359369091025813
20808,354514101461277
20866,352556102770356
21881,359369090367992
21911,359369091199360
22631,359369090076072
22655,358077093481360
23214,352556102789828
24118,352556102014425
24121,354514101187773
24122,359369090502119
24167,352556102002263
24638,352556102775413
24643,354514101457515
24645,359369090217304
24650,359369090551694
24653,352556102952152
24654,359369090375219
24655,359369090543451
24658,359369090399078
24659,359369090552262
24661,359369090555869
24662,359369090367174
24664,359369090038775
24667,359369090075223
24668,359369091201190
24669,352556102815144
24670,352556102915779
24697,358077093059463
24698,358077093039978
24699,358077093031678
24700,358077093037626
24701,358077093014559
24706,359369091071312
24707,359369091108213
24708,352556102746117
24709,359369091023552
24710,358077092356746
24714,359369090577160
24717,358077093054829
24727,352556102917197
24731,358077091663522
24750,359369090360922
24778,352556102915522
24793,359369091087854
24805,359369090624798
24811,352556102770364
24812,359369091047536
24813,352556102747800
24814,352556102748451
24843,352556102934531
24848,358077092205331
24852,352556102755365
24862,352556102755985
24871,352556102918591
24874,354514101453191
24875,352556102921314
24877,868574041293619
24881,868574041302667
24954,352556102099806
24955,354514101465401
24962,352556102055287
24967,359369091018792
24968,358077092190616
24969,352556102788549
25008,352556102797540
25013,358077091384582
25014,359369091288585
25015,358077091191532
25017,358077092192984
